word,count,pronunciation
you,87428,Y UW
the,67767,DH AH
a,46435,AH
it,42434,IH T
i,40630,AY
to,35287,T UW
what,34093,W AH T
that,32866,DH AE T
and,30050,AH N D
is,25111,IH Z
oh,22473,OW
do,21924,D UW
in,21071,IH N
this,19883,DH IH S
okay,18494,OW K EY
on,17439,AA N
that's,17199,DH AE T S
your,16389,Y AO R
no,15680,N OW
yeah,15585,Y AE
have,14566,HH AE V
don't,14204,D OW N T
there,14026,DH EH R
we,13905,W IY
one,13421,W AH N
are,13160,AA R
like,12809,L AY K
see,12764,S IY
can,12571,K AE N
here,12530,HH IY R
go,12436,G OW
he,12397,HH IY
of,12309,AH V
it's,11958,IH T S
right,11930,R AY T
me,10594,M IY
know,10395,N OW
put,9890,P UH T
did,9721,D IH D
for,9689,F AO R
want,9127,W AA N T
get,9112,G EH T
up,9003,AH P
with,8756,W IH DH
what's,8503,W AH T S
not,8359,N AA T
gonna,8352,G AA N AH
they,8102,DH EY
think,8099,TH IH NG K
was,8054,W AA Z
now,7766,N AW
look,7691,L UH K
all,7675,AO L
you're,7670,Y UH R
good,7611,G UH D
my,7355,M AY
so,7336,S OW
how,7170,HH AW
at,7131,AE T
well,6968,W EH L
some,6913,S AH M
i'm,6815,AY M
she,6684,SH IY
little,6678,L IH T AH L
be,6643,B IY
just,6638,JH AH S T
out,6132,AW T
where,5846,W EH R
but,5455,B AH T
come,5449,K AH M
let's,5373,L EH T S
yes,5126,Y EH S
wanna,5090,W AA N AH
down,4982,D AW N
got,4946,G AA T
if,4910,IH F
too,4732,T UW
going,4443,G OW IH NG
why,4440,W AY
say,4427,S EY
more,4416,M AO R
then,4349,DH EH N
her,4342,HH ER
when,4314,W EH N
huh,4263,HH AH
over,4245,OW V ER
does,4229,D AH Z
i'll,4206,AY L
back,4129,B AE K
there's,4100,DH EH R Z
about,4076,AH B AW T
make,3947,M EY K
take,3912,T EY K
them,3895,DH EH M
big,3887,B IH G
would,3855,W UH D
his,3785,HH IH Z
very,3614,V EH R IY
he's,3604,HH IY Z
who,3563,HH UW
him,3461,HH IH M
eat,3426,IY T
two,3385,T UW
baby,3368,B EY B IY
mommy,3352,M AA M IY
or,3330,AO R
off,3322,AO F
an,3317,AE N
play,3244,P L EY
said,3104,S EH D
alright,2986,AO L R AY T
um,2977,AH M
these,2920,DH IY Z
those,2914,DH OW Z
where's,2912,W EH R Z
didn't,2882,D IH D AH N T
need,2862,N IY D
doing,2858,D UW IH NG
tell,2820,T EH L
uh,2796,AH
other,2791,AH DH ER
let,2762,L EH T
can't,2688,K AE N T
were,2670,W ER
book,2532,B UH K
has,2525,HH AE Z
way,2520,W EY
cause,2517,K AA Z
could,2515,K UH D
time,2511,T AY M
they're,2400,DH EH R
will,2383,W IH L
else,2361,EH L S
something,2357,S AH M TH IH NG
really,2350,R IH L IY
had,2347,HH AE D
we're,2317,W IY R
nice,2308,N AY S
hmm,2273,HH AH M
daddy,2272,D AE D IY
honey,2261,HH AH N IY
sit,2248,S IH T
here's,2225,HH IH R Z
ya,2221,Y AA
give,2211,G IH V
doesn't,2188,D AH Z AH N T
maybe,2154,M EY B IY
another,2110,AH N AH DH ER
who's,2076,HH UW Z
car,2073,K AA R
should,2067,SH UH D
turn,2048,T ER N
read,2045,R EH D
hey,2020,HH EY
remember,2017,R IH M EH M B ER
please,1968,P L IY Z
we'll,1964,W IY L
em,1953,EH M
goes,1949,G OW Z
boy,1925,B OY
she's,1921,SH IY Z
again,1887,AH G EH N
name,1885,N EY M
any,1880,EH N IY
house,1874,HH AW S
from,1841,F R AH M
hi,1823,HH AY
wait,1778,W EY T
because,1773,B IH K AO Z
try,1751,T R AY
three,1716,TH R IY
help,1693,HH EH L P
went,1684,W EH N T
away,1629,AH W EY
around,1607,ER AW N D
kind,1603,K AY N D
today,1596,T AH D EY
find,1595,F AY N D
thing,1578,TH IH NG
mean,1573,M IY N
ah,1567,AA
looks,1547,L UH K S
better,1531,B EH T ER
things,1526,TH IH NG Z
first,1508,F ER S T
as,1498,AE Z
