speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2
s01,ah,767,1769,3317,202.735,-70,157,-68,79,141,-350,en,ads,0.8248189767263424,-0.4515638300187673
s01,ah,642,1599,3395,60,-36,-48,90,26,-120,164,en,ads,0.1823670739963724,-0.850399185503982
s01,ih,630,2367,3339,66.836,-6,10,44,11,-27,-76,en,ads,0.12069169133429528,0.9513981851586351
s01,ah,635,1263,3236,64.14,96,-103,298,37,-36,-226,en,ads,0.14638976744349408,-1.638685535168877
s01,ah,606,1923,3339,65.77,31,-51,-50,117,-33,21,en,ads,-0.00265907398985897,-0.09026591975569044
s01,eh,559,2402,3210,77.975,6,-65,17,-31,135,-36,en,ads,-0.2442209894163277,1.0335113465820616
s01,eh,453,2075,2721,111.199,76,59,317,15,34,186,en,ads,-0.7890202029313422,0.2663398098546192
s01,iy,450,2487,3123,72.747,-22,-174,-81,75,296,191,en,ads,-0.80443904859686155,1.2329290243246689
s01,eh,562,2535,3094,116.549,-99,197,106,-29,410,700,en,ads,-0.2288021437508084,1.3455413599910826
s01,ah,480,1553,2558,227.822,39,54,-34,39,104,-8,en,ads,-0.6502505919416687,-0.9583193405176283
s01,ah,574,1740,3332,48.175,-108,47,-58,72,83,-77,en,ads,-0.16712676108873128,-0.5196004494838922
s01,ah,568,1353,3577,49.583,-98,-84,-941,74,338,813,en,ads,-0.19796445241976984,-1.4275374057943515
s01,eh,726,2010,3275,52.209,31,-104,-15,154,5,31,en,ads,0.6140947526309122,0.11384393863968416
s01,ah,710,2087,2989,62.67,-118,-317,-1023,55,-20,-156,en,ads,0.5318609090814761,0.29449289377122256
s01,ah,676,1382,2977,73.319,124,-115,-153,129,175,130,en,ads,0.3571139915389242,-1.3595007863292268
s01,eh,681,2039,3402,122.14,-32,-126,-87,112,-82,53,en,ads,0.38281206764812303,0.18188055810480902
s01,ah,517,1567,2897,330.183,128,84,291,38,210,307,en,ads,-0.46008482873359763,-0.9254740759482577
s01,ah,879,1659,3372,209.436,-125,77,-121,144,61,96,en,ads,1.4004558815723955,-0.709633765920965
s01,ah,433,1546,2854,295.334,452,321,37,-170,43,-46,en,ads,-0.8918125073681374,-0.9747419728023137
s01,ih,489,1499,2199,62.38,39,689,391,138,-667,-1051,en,ads,-0.6039940549451109,-1.0850082181423435
s01,ah,389,2122,2190,49.497,-74,-580,174,-140,774,-465,en,ads,-1.117955577129087,0.3766060551946491
