f1,f2,vowel,learned_cat
757.949986484827,1065.3390857588572,ao,1
955.4036132881139,1886.0309490968214,ae,1
810.3461025256196,1401.7704909967142,aa,1
505.9724776637099,1808.5753089959453,uh,0
387.13071480432046,2468.230519193052,eh,2
642.4322628430149,2150.374676830628,eh,1
815.8000697872086,1199.3567618161817,ah,1
355.30486702440624,1865.0428172115646,ih,1
615.5152575777485,1940.8284800071044,ih,1
788.999805776068,1497.8595582479672,ah,1
595.7341276862644,1809.9577024378395,eh,2
244.23489876552094,1658.887791328951,ah,0
896.3329254579344,1436.765003869612,ao,2
394.9036838864331,2812.6773733097416,iy,2
532.0103910980536,1606.69830614292,eh,1
583.9347620832393,1856.4727761813738,ah,2
705.8467164287558,1528.4761545466424,ah,1
294.8096495517327,2477.4375243008276,iy,0
739.0617150063213,1579.4676855222788,eh,1
382.43281584625174,2174.8696138735586,uw,2
405.65251011910806,1564.129075244933,ah,1
820.7508833581926,1482.8872710819621,ah,1
720.8683027510746,1497.081567661349,ah,1
379.7163331620464,1912.9248910427698,iy,2
616.5155617028271,1621.6387940828658,ah,2
582.5880715239546,1965.5082123261634,ih,2
683.3559792349137,1494.0795659654048,ae,1
692.0359287228428,2108.1783618412546,ih,1
825.8701650663992,1651.3010803663956,ao,1
736.5450427223097,1483.1882591149824,ih,1
515.4066853399546,1261.8214117074829,ih,0
821.9246799573334,1389.3002485853156,ae,1
606.8638479718134,1547.6550159066014,ah,2
824.6653860918148,1813.0621739999995,ah,1
845.9053226911193,1959.2950057888552,ae,1
494.43745553639076,2581.481675513014,iy,2
415.4918530602855,1426.5985303704927,ah,1
559.6628006509712,1309.0498759476163,ah,1
587.7802604382703,1448.2695780113809,eh,2
380.5260703632629,2297.9551792794023,ih,0
1156.4139679651669,1745.0495159013112,ae,1
579.2483573845116,2286.407357941132,iy,2
452.80896327227265,1805.001088747868,ih,1
444.4352041601598,2190.012283086858,ih,0
856.3749307754109,1923.0142403495418,ae,1
696.8159838899268,2014.2341372453257,ae,2
486.3413338157484,1316.5092001248368,ah,0
536.1226252590336,1565.8753441418394,ah,1
739.7746341210811,1907.4268382663738,ah,1
754.9190746178747,1607.6104332627287,ae,1
472.1532114539929,1829.5055874494046,ih,0
806.2203720189121,1148.6992396678477,ah,1
489.8609913410154,1631.1968035215414,uw,2
618.9394146662673,1580.5585746367478,eh,1
519.8717257470477,2685.5305161473907,uw,2
553.6656640435815,2223.532715314848,ih,2
655.2964447775339,1719.8577865437915,ih,1
1048.9061050715757,1560.8979405020427,aa,1
574.29573961408,1938.1529372309747,ih,2
716.1210861031564,1743.9454927865154,eh,1
709.8152851274397,1439.7291023825012,ah,1
551.6439311611601,1499.2853566786735,ah,1
759.9865326896827,1586.332254229915,ah,1
497.94992845284503,2448.3703075925196,iy,2
573.6397311202186,1299.1852987797602,ah,1
494.1983668586885,1502.6420638204872,ih,3
542.5718915298788,1738.5314597670135,ih,1
453.1326286397178,2404.864227863686,iy,2
641.4910474347563,1685.893852536638,ah,1
662.5113447939458,1452.0365433619593,aa,2
771.8767977671324,1747.4965892490275,aa,1
584.0922594987877,1851.1826300265423,ah,1
600.5214281310238,1470.6614000083568,ih,2
584.2387816134478,1696.383953385257,ah,1
539.5039273677189,1971.4777757072493,ih,2
780.4564666399773,1738.4546575056988,ae,1
