f1,f2,vowel,learned_cat
639.8632856076487,2220.612471509512,eh,1
655.3126865845842,1817.9202093411234,ah,1
763.8692676974986,2398.515972048276,ih,0
613.5546028394346,1306.111303743451,ah,1
675.3388205540706,1250.6509506628186,ah,1
870.34693288718,1830.124043302596,ae,0
739.6860881381156,2183.143669660896,aa,1
481.1551005217478,1903.4753473528226,ah,0
599.8993044454058,2344.7409590922152,ih,1
546.5009971100653,1988.6995913916198,ih,0
849.8231861411778,1404.3507609673688,ae,1
855.6230936846251,1448.9372851001774,aa,1
550.0560476309663,1727.7896581755401,ah,1
503.9313873590911,1643.0301622532572,uw,1
703.2338820988691,1706.9117506827677,ae,1
626.5311388519137,1255.8381642133456,uh,1
634.8986237082107,1316.9913341833958,ah,1
435.2121250130348,1546.8579135181935,iy,0
415.9399124300387,2120.7126966395545,ah,0
743.2962515086458,1359.8366596784579,ah,1
649.7797790137668,2780.509003137837,ih,0
833.7514968002861,1789.515004313793,ae,1
466.7314752216526,1763.514767676145,ah,0
668.5710088174417,1419.4044880835313,ah,1
797.63525294401,2387.53040715178,ih,0
675.8902371254538,2067.3795884875994,ih,1
629.0139564684674,2049.3334327960483,eh,0
651.1179778242529,1961.8285712838097,eh,0
549.7206533679253,1951.7221810035976,iy,1
1047.466991659296,1397.5564454310334,ae,1
537.0614570425636,2232.002614260609,ih,1
660.3186689372753,2474.4062346068313,ih,0
586.0412782385635,2670.913110704529,iy,0
563.9334167068683,1853.0564594940322,iy,0
473.5133308697875,2158.1311803769613,uh,1
735.5179359618949,1404.6271692837256,ao,1
340.804832354229,1525.7875099381677,ah,0
364.66824311862734,1054.9424045679154,iy,1
447.5210532874276,2154.6978734357162,ih,0
648.2032440798537,2117.8981229666624,ah,0
531.0562216563703,1414.0174048070198,ih,0
634.4294695592125,1938.4149182888302,eh,1
404.4161821566564,1964.8480851556387,ah,0
593.2864406985406,1979.3358211031828,ah,0
469.91079127769285,1836.930641051514,uw,0
356.91629266114336,1353.9001715044367,uw,1
640.1336927531338,2242.99972914634,ih,0
488.6343890027953,1617.3115713067914,iy,0
647.6056265500846,1355.9217756093663,uh,1
722.1604263020223,2028.6973488593821,ah,1
693.0563105205147,1485.5101298057643,ih,1
331.5037992609656,1460.194541985961,ah,0
827.9999347030773,1618.3252123254183,ae,1
