iteration,log_likelihood
0,-95479.26740441582
10,-99483.50682553035
20,-100106.88513153257
30,-100328.9502692492
40,-100391.45384436505
50,-100263.38089093211
60,-100129.74646210902
70,-100137.67403502717
80,-100038.22257119424
90,-99716.16720577967
100,-99533.74648630776
110,-99394.05924825347
120,-99422.10386402396
130,-99342.52244321305
140,-99239.17926031273
150,-99015.06410379539
160,-98827.02910679247
170,-98718.34854054771
180,-98555.73073056669
190,-98364.18187901899
200,-98126.21525090258
210,-98055.11720621394
220,-97927.78535789576
230,-97917.43042066977
240,-97715.08965215825
250,-97579.48386445368
260,-97274.00373667115
270,-97193.2509743192
280,-97010.35192665251
290,-96985.7651331152
300,-96853.45514864124
310,-96727.99651194915
320,-96654.00219859599
330,-96531.51951756988
340,-96468.58381160726
350,-96368.91832226733
360,-96342.89232959105
370,-96212.78363612428
380,-96176.94651815583
390,-96168.91521374452
400,-96019.5247120131
410,-95937.15797258267
420,-95769.80081421333
430,-95892.09120336543
440,-95736.67359300653
450,-95771.58448743881
460,-95593.50275930087
470,-95501.14209479929
480,-95504.56976674775
490,-95448.72349860049
500,-95299.12693420307
510,-95135.03531634828
520,-95072.2949067587
530,-95034.96371952102
540,-94994.10454044334
550,-94875.50089899663
560,-94843.70171413023
570,-94756.78688596291
580,-94793.90606090591
590,-94696.52251509798
600,-94620.03629390514
610,-94519.3273579368
620,-94600.44565201385
630,-94378.36989729482
640,-94351.13855267427
650,-94260.7142789824
660,-94214.46416912854
670,-94272.73874157161
680,-94064.10699119438
690,-94071.06466000508
700,-93898.71523056022
710,-93945.10048802028
720,-93833.26970570517
730,-93875.95952710113
740,-93786.12809161273
750,-93781.03049515933
760,-93654.28496399187
770,-93794.2021529339
780,-93678.69699116363
790,-93660.11813100561
800,-93443.82739013352
810,-93500.64092284275
820,-93480.71145332232
830,-93536.38448268574
840,-93421.04146240558
850,-93504.51525510961
860,-93366.68865109119
870,-93414.90289254066
880,-93388.77154658597
890,-93303.06191570379
900,-93306.08619991678
910,-93272.6951333407
920,-93112.61853046247
930,-93115.15320902716
940,-93053.78596055074
950,-93022.93849795673
960,-93145.38999267743
970,-93019.75006785539
980,-93141.94337019447
990,-93085.43001126513
1000,-92958.46007529084
1010,-92818.70810523344
1020,-92887.88642856291
1030,-92861.12329579933
1040,-92914.04817030011
1050,-92813.2380766497
1060,-92705.0562264983
1070,-92695.455551203
1080,-92744.6376044862
1090,-92705.44375202469
1100,-92805.96507499026
1110,-92739.4960550637
1120,-92667.60701256676
1130,-92590.56703864207
1140,-92629.3001497922
1150,-92596.08874805235
1160,-92394.17111165758
1170,-92530.80868122136
1180,-92575.36086747266
1190,-92357.49082439169
1200,-92473.24124904149
1210,-92345.70044970501
1220,-92412.27844478928
1230,-92192.68642676435
1240,-92239.01474845642
1250,-92296.85950637846
1260,-92289.95574023621
1270,-91994.1388904748
1280,-92075.08138294745
1290,-92067.18312606125
1300,-92085.57040773102
1310,-91998.11998866271
1320,-91960.95878675177
1330,-92140.85902041325
1340,-91920.62522134345
1350,-91643.73873377983
1360,-91769.86406583425
1370,-91841.96144243743
1380,-91688.40733792883
1390,-91629.86028520681
1400,-91633.52954899272
1410,-91362.34368482514
1420,-91357.08292694097
1430,-91525.97837499957
1440,-91333.58440699277
1450,-91169.61652763237
1460,-91231.652591875
1470,-91206.36819214918
1480,-91126.87120347022
1490,-91270.34718285414
1500,-91040.1760080101
1510,-91210.97391681217
1520,-91140.15777470054
1530,-90989.79218363205
1540,-91015.31847831728
1550,-91060.03608456094
1560,-91146.91733269516
1570,-91121.24521661393
1580,-91176.71328547178
1590,-90915.06507632925
1600,-91056.08417241386
1610,-90898.95145774998
1620,-90942.74793372175
1630,-90778.73198090689
1640,-90802.54083349966
1650,-90874.28504509848
1660,-90701.00004248855
1670,-90712.60067393501
1680,-90746.68331646966
1690,-90629.62836394088
1700,-90506.00148606577
1710,-90707.14005567097
1720,-90606.88723930893
1730,-90717.12181024803
1740,-90559.7111948101
1750,-90704.05570483996
1760,-90457.16532719706
1770,-90438.6208114619
1780,-90489.48023123931
1790,-90422.16818336198
1800,-90435.9252996709
1810,-90440.22885137012
1820,-90435.55661538971
1830,-90323.83954814488
1840,-90337.94820988216
1850,-90265.70323418664
1860,-90333.11793973684
1870,-90330.64558577866
1880,-90214.09485491789
1890,-90253.68341647326
