,f1,f2,vowel,learned_cat
0,656.9074745574691,1573.1769358046004,eh,0
1,622.9124177826832,2295.356739251855,ih,2
2,439.9263052181874,1934.7693856562805,iy,2
3,605.9038133552492,1834.0057310323305,ih,1
4,519.3823078275186,1503.141120277354,ah,1
5,413.21947407245955,2275.3797980874674,iy,2
6,747.6070512166125,1502.4975192731185,ah,0
7,724.3840118348825,1552.7831897028777,aa,0
8,434.79790944322235,1794.9368031120332,ih,1
9,559.5350360165608,1367.916361877735,ih,1
10,745.7150678486206,2066.127855844235,eh,0
11,614.7477238342341,1689.1975760458618,ah,1
12,387.3572369988394,1749.0042202215313,ah,2
13,650.8344921754457,2125.5914575451206,ih,1
14,629.8234632623593,1456.0012376270056,ah,0
15,634.4781997795707,1778.9501692801762,eh,0
16,419.78917542940087,1428.1179390721518,ih,1
17,605.8834028262976,2417.769358769424,ih,0
18,570.3553663478162,1697.5834050759868,eh,1
19,689.4095155806413,1745.048137748579,ah,0
20,721.6997942373798,1224.6622927786157,ah,1
21,354.58063372053294,1844.9902520970832,ah,1
22,629.023383491877,1790.0113852457264,eh,1
23,620.669528460828,2074.610992962068,ih,1
24,461.86802881402554,1820.2737493595023,ah,2
25,264.95420904435497,1906.9132019090912,ih,2
26,432.0774688757964,2301.5987783162927,eh,2
27,680.6821823238279,2119.7652129813605,ih,1
28,717.7379777987087,2183.2094144729917,ae,1
29,708.6908031814215,1867.7527489125077,eh,1
30,548.6632568542079,2413.850603394705,ih,2
31,452.2046659899552,1620.6883760115788,ah,2
32,316.09250792286707,2445.4556589192157,iy,2
33,514.5428675890214,1372.482549128323,ao,1
34,677.2889254234892,1526.9343544576718,ah,1
35,520.5133612577002,1418.1992912224352,ih,1
36,287.5390451774164,1566.9743411615593,ah,2
37,824.3580467823081,1305.5262312600053,ah,1
38,592.033732909106,1833.756563466473,ih,1
39,539.059570335825,2726.176741315695,iy,0
40,505.26749856209915,1669.0988677005155,ah,1
41,501.1898861485548,1202.4528700465003,ih,1
42,544.5656207932191,2351.8864838566233,ih,2
43,567.9184881114443,1564.5512713544588,ah,2
44,445.6886252780816,2008.3221494324278,iy,2
45,817.421525022679,1973.6433650273323,ae,1
46,589.4438747331506,1812.2946406412273,eh,1
47,297.9503277277056,2527.6859168627916,iy,0
48,540.8493767783424,2511.9653909967224,ih,2
49,466.7096689938012,1720.1122355788536,ah,1
50,717.7471065001498,1411.821920470295,ah,1
51,788.7711878748016,1502.3774082239363,ah,1
52,759.1176792577651,886.6202360704988,ah,1
53,472.92763432956065,2880.492237122487,iy,2
54,758.0247102417296,1144.8437516451413,ah,0
55,817.1582712839285,2052.0611671849597,ae,1
56,831.5008679478772,1636.3368701977035,ah,1
57,310.48182343249965,1546.701697577728,uw,1
58,414.56222375028756,1618.8527575887806,ah,2
59,386.9664755568878,1679.4997356367871,ah,2
60,567.4883676914832,1841.827291991832,eh,0
61,556.2795646502518,1878.503765198944,ah,2
62,681.8468452254617,1888.5531416512088,ah,1
63,476.7891593692548,2167.3814301584716,ih,2
64,612.9496206378078,1961.9719115427245,ih,0
65,516.7410369497474,1769.1887740722225,ih,2
66,671.1385834058943,1742.0489017724904,eh,0
67,586.3505269152329,2211.694092846725,eh,1
68,573.3113102879893,1919.3853906219128,ih,0
69,653.370837739063,1641.1776108841937,eh,1
70,772.6874231327439,1243.7380372126534,aa,1
71,608.2380664403183,2350.6522010990257,ih,0
72,84.52391607162133,792.5712474872485,ao,1
73,785.7957712927852,1698.4684501710276,eh,1
74,577.5061250189858,2806.222114146794,iy,2
75,302.0127246158769,2458.668646849923,iy,2
76,858.9194553931933,1027.8799291164069,aa,1
77,701.2796556777472,1981.5863516019203,eh,0
78,730.370682951199,1667.2403084441576,ah,0
79,596.0270550949051,1004.4754575238226,ah,1
80,458.2665043301301,2151.022338544926,ih,1
81,470.845950286447,2020.0463017815287,ih,2
82,436.713131247699,1669.5395916180694,ah,2
83,793.7199188012434,1418.773471997761,ah,0
84,487.75411925273823,856.4336814139648,ao,1
85,396.5800007926558,1659.2979902523937,iy,2
86,609.1660778190189,1979.5987842243167,eh,0
87,937.9909839168832,1472.2086659995298,ae,0
88,715.9435569006414,1504.2542407575802,ah,1
89,610.392874329551,1325.3067675064674,ah,1
90,658.0570589022279,1858.2594184918753,eh,1
91,325.94928037805755,2985.8383138163,iy,0
92,691.097904179603,1442.563396059178,aa,2
93,545.5495595472493,1859.5235733867876,ih,2
94,716.4849795823084,2023.6567325297065,eh,0
95,664.7155245196747,1736.8064884351945,ah,0
96,822.1374378539003,1840.8668887934778,ah,1
97,708.2447742290653,1618.7373448107578,ah,0
98,575.4409405169042,1954.3905184947382,eh,1
99,563.3377263606988,2008.6808095244376,eh,1
100,646.9778034463156,2002.6228350928714,eh,0
101,983.3837092342606,1974.2032901379312,ae,1
102,618.0753531788472,2164.917652213593,eh,0
103,589.9852025765517,1347.6352759795172,ah,1
104,865.8603452306138,2348.778222551498,eh,1
105,473.84297184221265,2230.1421686227527,ih,2
106,474.066048198093,2685.992927779292,iy,2
107,214.29663624210866,1958.5655842445012,ih,1
108,531.6702126345559,1245.5416528576739,ao,1
109,514.7123685426247,1871.4368032809102,ih,0
110,747.6870424551607,1850.4985861021644,ae,0
111,401.11554772118365,1012.9512115862087,uw,2
112,453.01886272402555,1636.6284687639375,ao,2
113,389.85830722115867,1689.1756831301946,uw,1
114,562.7545471076018,1591.346998029117,uw,1
115,567.0972783779018,1315.057065329449,ih,1
116,488.046961015079,1582.3916318858041,uw,1
117,882.4576628562642,1782.5608651190246,ae,0
118,706.8752452106712,1443.3748814508413,ah,1
119,437.6268565734357,1827.0277493502936,ih,2
120,738.9269405314274,1949.2694074084618,ae,1
121,405.7128439460523,1636.113157362153,ih,1
122,441.2855220190025,2765.049771740165,iy,2
123,871.1460347697192,2115.363254260443,ae,1
124,569.8832893124344,1836.828932820028,ih,2
125,850.0742786161767,1202.1232943273276,ah,1
126,660.3866288174715,2113.8349364575197,ih,2
127,572.9136554901683,1465.7703371777798,ih,1
128,639.9192166557414,1322.4280331542952,aa,1
129,366.05718553262943,2349.6642551282675,ih,2
130,599.5046983332568,1958.2442534864172,ah,1
131,706.7325221300118,1022.0483179980582,eh,0
132,739.2516431203824,1403.4080776631322,ae,0
133,261.19359061709406,2255.586167429204,ih,2
134,292.38318559620336,1694.9234374916732,ah,1
135,643.3351055525704,2003.1562765529625,ae,0
136,828.9522291526253,1681.2702336128775,aa,1
137,356.5198770228717,1624.998521509764,ah,2
138,585.1900557615267,2214.390978140077,eh,2
139,717.5602122836099,1218.2944196983192,eh,1
140,857.6773231301614,1402.4646391990257,aa,0
141,692.2552925787935,2189.0323370399615,eh,1
142,562.6690516722496,764.198788152827,ao,2
143,572.084912936894,2309.072401132359,ih,0
144,869.1308296146049,1648.7739316568777,ah,1
145,444.45501392313054,1751.4833543281836,ih,1
146,767.3744053568568,2058.0909050520354,eh,1
147,591.8463905227278,1709.446294584846,eh,0
148,435.18528669805227,2431.388423258317,iy,2
149,743.4685079051224,2120.01071807692,eh,1
150,445.1457256370783,1780.2291637912615,uh,2
151,533.1766905509037,1384.3806136959827,ao,1
152,970.6165996975973,1076.5538753049866,aa,1
153,692.7426690594315,1862.1711850628367,ah,1
154,825.067483488057,1826.1778710293281,ae,1
155,392.9785472843862,1255.7839445829422,uw,1
156,411.6943937509205,2016.0119528046207,iy,2
157,636.2656309286035,1382.845895715039,ah,1
158,817.0396762253688,1236.5040496903307,ah,0
159,491.7082648715217,1378.4322318359807,ah,2
160,822.971565565487,1091.779129674498,aa,0
161,580.1996158290855,1349.7844509276792,ah,2
162,723.9776487109369,1938.8865084161212,eh,1
163,344.2282292578314,1261.6742824015032,ah,1
164,798.5853746580442,1630.0602373629288,aa,0
165,869.903235168453,1852.7918130449216,ah,0
166,776.8921221025676,906.3558106337625,ao,0
167,190.58991248799452,2539.802023093143,ih,0
168,564.9011040086181,2283.56636243493,ih,0
169,629.4628052739963,1862.3245309877836,ih,0
170,536.4000270880756,2499.1831087512137,ih,0
171,541.505868233464,1620.0985475906728,ah,1
172,422.86805808721124,2514.349111129176,iy,2
173,686.7385585214377,1885.6453293299624,eh,1
174,829.3522826420802,1583.954955620859,aa,0
175,676.7697637783612,1704.0715802974885,ah,1
176,853.9214899847751,1287.434519634528,ah,1
177,583.244233349136,1911.5677946621588,ae,0
178,1012.4183716563343,1349.127342970872,aa,1
179,599.6486747625864,2055.783842844385,ih,0
180,476.0145318786539,2185.493286557463,ih,1
181,586.6366678792663,2038.7253980708392,ih,1
182,709.2684986245004,1648.78525033652,aa,1
183,346.49972490535663,2126.408861712275,iy,0
184,715.7923223196402,1685.4561650875262,eh,0
185,554.6082559018381,2646.4764828257544,iy,2
186,439.06704327437393,1927.425581781901,iy,2
187,644.5794651405968,1375.331785191305,ah,2
188,1082.9824518317978,1648.7083437533279,ae,1
189,846.9560838086501,1585.4257625428468,aa,1
190,656.839287603417,1837.9983454132414,ae,1
191,672.2393060205327,1923.3601745665705,aa,2
192,996.8595142249262,1932.0108828497755,ah,1
193,389.0188058805756,1974.066702332885,ih,2
194,752.8693868968652,1119.4956591004109,ah,1
195,410.4013071565737,1321.4577004527546,ah,1
196,590.3827343336884,1745.8569445845653,ih,0
197,628.6977041022255,1074.829665664909,uw,2
198,591.5642658121451,1153.4967157537578,ah,1
199,486.59012124634035,1768.6990369851483,ao,2
200,511.83564728444634,2031.221242991659,ah,2
201,616.2327026060897,1935.3693390676067,uh,0
202,456.72920719218166,1433.4574277443878,uh,1
203,792.1459365152914,1777.9311578317565,ae,0
204,451.4173508324794,1879.3301226863955,eh,1
205,661.1425616302328,1468.5794923072308,aa,1
206,365.3506212243107,1056.9408689073446,ih,1
207,896.9977692845835,1735.8777068098195,ae,0
208,608.656996226089,1306.4865273533728,ah,1
209,728.8949518894665,2176.5258867453076,ae,1
210,466.3254967218494,2402.689365665968,ih,2
211,574.2855986291381,1681.58264718827,ih,1
212,584.3530301398852,1945.595790539727,ih,0
213,529.2405839971864,1316.2272925860202,ah,1
214,427.4082353025047,2236.0050667696833,iy,2
215,353.52293564121806,1943.3044353465796,ih,2
216,481.1115934030802,1024.4804819969006,ah,2
217,543.252927767796,1787.6838017091147,ah,2
218,612.2401793123151,1846.9308007917161,ih,2
219,420.6689125919335,2471.868106915665,iy,2
220,781.306246847997,1674.9728047883177,eh,1
221,517.6156362506464,1708.2976957458063,uh,2
222,365.5906007802557,2424.3951771214033,iy,2
223,865.7598487667216,1702.7218444173275,ah,0
224,549.9473811043358,1116.0474888692597,ah,1
225,538.1539912483828,1653.340492178113,eh,1
226,637.361627670004,1819.5135988455468,ah,0
