iteration,log_likelihood
0,-94845.44830553446
10,-98688.60091324919
20,-99180.34880016495
30,-99511.5332383818
40,-99448.98277672581
50,-99535.90695376351
60,-99501.55052475641
70,-99597.31749475971
80,-99524.46906394484
90,-99460.86350875255
100,-99335.42849627913
110,-99490.53332713027
120,-99221.42351727873
130,-99053.43798060191
140,-99014.37718086381
150,-98728.53416572056
160,-98691.64290321358
170,-98432.82714352116
180,-98368.7179201917
190,-98305.92862565942
200,-98200.33197321695
210,-97796.05054110303
220,-97595.52830714919
230,-97581.57499347905
240,-97444.87261367368
250,-97251.04652708412
260,-97140.41739043803
270,-97146.47354775363
280,-96853.11745776105
290,-97084.20377282676
300,-96819.34828159137
310,-96739.70532730196
320,-96656.58101181772
330,-96617.81409821397
340,-96612.03034088585
350,-96648.58688618137
360,-96328.21311774336
370,-96214.05831910789
380,-96262.06383792551
390,-96116.90055364888
400,-96162.0106156268
410,-95941.26347279773
420,-96009.15824785989
430,-96033.17634688309
440,-95849.12394343037
450,-95683.53290361387
460,-95768.58557782625
470,-95621.90133603715
480,-95516.8872169009
490,-95348.61670206295
500,-95353.22678947792
510,-95385.8073749361
520,-95297.99395196085
530,-95287.11748115747
540,-95382.69014337352
550,-95139.62438840128
560,-94942.6929482156
570,-94944.91538852389
580,-94877.54316408992
590,-94688.38103614419
600,-94850.39335710625
610,-94621.86297409645
620,-94648.97796284131
630,-94609.0916248236
640,-94661.30172128386
650,-94567.60710599832
660,-94519.63719745536
670,-94413.66413663107
680,-94252.250975017
690,-94228.05124906161
700,-94351.93475916938
710,-93928.51794927579
720,-93889.5750030523
730,-93948.12562216076
740,-93977.46346686047
750,-93613.67699056654
760,-93735.7732630305
770,-93823.22425954576
780,-93607.73561720242
790,-93631.31811541866
800,-93559.00946164898
810,-93700.01456274847
820,-93508.46740608804
830,-93369.92604166284
840,-93329.55594129149
850,-93318.25185431953
860,-93414.93060683226
870,-93339.31913802953
880,-93193.41519617788
890,-93219.02046396064
900,-93010.10149160697
910,-93076.58411541514
920,-93107.044195937
930,-93213.07053732738
940,-93051.78631782765
950,-93152.00921077291
960,-92910.80669420362
970,-93092.81735767124
980,-92987.18443140665
990,-92940.89918560328
1000,-92826.60451130536
1010,-92877.47015562457
1020,-92880.74490587483
1030,-92696.1943084909
1040,-92792.7123969603
1050,-92614.22121511586
1060,-92500.8904212965
1070,-92459.97772997369
1080,-92335.06914961817
1090,-92207.7612447713
1100,-92280.73927706042
1110,-92271.03528599217
1120,-92090.3723843653
1130,-91971.70115839523
1140,-92027.1181848131
1150,-92017.80818600357
1160,-91965.66527144818
1170,-92134.9270116378
1180,-91944.52597276284
1190,-91877.46276672989
1200,-91885.92113553254
1210,-91850.84491968586
1220,-91700.03608696882
1230,-91876.00802992945
1240,-91625.00066148085
1250,-91708.02790840887
1260,-91833.03171276899
1270,-91632.35555181463
1280,-91698.82471364958
1290,-91543.9699171581
1300,-91638.16829096424
1310,-91642.35447487644
1320,-91570.49704988679
1330,-91571.76823382785
1340,-91552.51524727573
1350,-91445.67791280024
1360,-91541.06585019332
1370,-91239.00329530137
1380,-91438.41800633793
1390,-91343.86731691388
1400,-91425.86605544924
1410,-91328.00665573018
1420,-91246.02340199478
1430,-91165.2213733782
1440,-90930.40004595448
1450,-91131.36295091847
1460,-91112.30716231005
1470,-91331.9831875288
1480,-91285.84289046269
1490,-90969.7433354347
1500,-91236.01818120692
1510,-91287.76504874736
1520,-91132.77538399065
1530,-91121.85603620531
1540,-91095.66597670058
1550,-90918.39557010081
1560,-90828.77713046524
1570,-90895.12771474157
1580,-91014.90643951921
1590,-90899.4651618219
1600,-91035.32211041749
1610,-90943.86509357128
1620,-90783.41826714369
1630,-90708.00724836224
1640,-90741.11056687703
1650,-90590.50457809283
1660,-90614.84859087762
1670,-90796.9361609062
1680,-90319.8157142803
1690,-90521.7122855463
1700,-90483.58929221661
1710,-90527.73931776121
1720,-90524.63233601443
1730,-90369.58681886809
1740,-90493.91009890105
1750,-90373.0543660603
1760,-90220.8871443448
1770,-90045.11366101826
1780,-90204.3589013877
1790,-90203.5821953621
1800,-90022.09463098871
1810,-90232.38287884476
1820,-90083.1865856855
1830,-90091.11946877671
1840,-89930.80557432822
1850,-89948.16737848603
1860,-90037.54822399099
1870,-90133.18693228517
1880,-89674.97511513883
1890,-90059.12178210657
1900,-89961.1010253602
1910,-89745.92496904032
1920,-90072.83962915698
1930,-89802.69068516842
1940,-89813.51596510263
1950,-89768.90785895799
1960,-89537.64788682025
1970,-89713.16430479636
1980,-89808.3075695945
1990,-89725.58673646481
2000,-89720.11842859392
2010,-89749.92110244057
2020,-89618.14658369622
2030,-89609.23808813478
2040,-89439.72726790617
2050,-89699.4069570409
2060,-89568.38522273366
2070,-89618.11961337228
2080,-89677.26395807037
2090,-89408.21475349831
2100,-89349.76502828918
2110,-89272.89664482087
2120,-89247.55427398959
2130,-89209.02290687403
2140,-89139.19984904883
2150,-89074.62468816957
2160,-89107.29708949177
2170,-89016.99525223403
2180,-89065.76509916705
2190,-89089.11705217701
2200,-89107.77343444256
2210,-88998.74305757573
2220,-88922.38151113274
2230,-88823.11981630478
2240,-89107.68839164221
2250,-89088.7173199509
2260,-88779.37828779712
2270,-88976.9971320736
2280,-88870.90418241086
2290,-89023.44243992094
2300,-88959.84055284745
2310,-88913.16964490217
2320,-88652.5118626994
2330,-88790.01353142373
2340,-88854.31911141524
2350,-88802.28867651976
2360,-88959.17866317264
