iteration,log_likelihood
0,-125012.43260943683
10,-128942.28431591588
20,-128748.38568171258
30,-128716.35390486254
40,-128521.41302178107
50,-128656.2666631547
60,-128415.43191295199
70,-128344.9372885644
80,-128214.04355860088
90,-128052.10064814962
100,-128112.10375966772
110,-127967.18809247995
120,-127996.17203056751
130,-127807.54587543689
140,-127597.48967327765
150,-127572.64586442965
160,-127305.76985990815
170,-127083.61559014564
180,-127099.72976958832
190,-126787.59937290802
200,-126582.08402322992
210,-126466.71532781745
220,-126022.91571636108
230,-125962.9177728908
240,-125958.63672437768
250,-125802.34515442647
260,-125960.32015704985
270,-125650.42891229162
280,-125653.47129897283
290,-125622.97022936457
300,-125401.89305689858
310,-125078.63608679024
320,-125044.45119217437
330,-124683.29617840896
340,-124421.88424185089
350,-124597.92947591649
360,-124092.04640510178
370,-123802.54699193873
380,-123807.53800128424
390,-123701.09140458354
400,-123611.55639139845
410,-123445.51331130888
420,-123359.6641055922
430,-123354.92480899459
440,-123330.69960716055
450,-123094.05884379498
460,-122984.32909423443
470,-122879.4108551551
480,-122747.09763194682
490,-122847.066091829
500,-122692.56785045071
510,-122560.551571834
520,-122249.94442592931
530,-122209.28891844672
540,-122212.29231552672
550,-122175.48914086328
560,-122335.892041509
570,-122150.37869182775
580,-121990.19358814592
590,-122176.92059505754
600,-121941.99566898926
610,-121905.00840502878
620,-121607.0966036735
630,-121967.26648607057
640,-121754.48574623215
650,-121688.2147392071
660,-121739.41651225036
670,-121709.85921730066
680,-121587.98246136255
690,-121661.25242283074
700,-121751.88296388378
710,-121462.34819074368
720,-121583.68912513049
730,-121594.75626166326
740,-121495.53149975317
750,-121374.49160433185
760,-121313.83931914829
770,-121095.44834749105
780,-121287.4715043291
790,-120965.07362768044
800,-120790.7019253014
810,-120797.55306070598
820,-120720.36309100842
830,-120591.61968506529
840,-120611.94227445204
850,-120532.43754987814
860,-120531.35173128653
870,-120119.28647884482
880,-120182.79020304876
890,-120263.55346884858
900,-120016.99948564963
910,-120163.85318002064
920,-120006.35560663014
930,-120053.60961129237
940,-119983.9903498237
950,-120000.36741591246
960,-120020.15699730802
970,-119709.6301216361
980,-119778.74290947522
990,-119658.30336200848
1000,-119489.05438066875
1010,-119564.63195029361
1020,-119388.56606582287
1030,-119279.41295731
1040,-119152.03989039997
1050,-119266.06407254368
1060,-119217.75678453382
1070,-119210.33446806666
1080,-119162.70932643682
1090,-119082.09020882248
1100,-118931.96041488294
1110,-118724.29010269884
1120,-118520.49497201174
1130,-118555.97384207169
1140,-118734.88953283681
1150,-118551.81749276088
1160,-118440.28324902366
1170,-118643.90610262062
1180,-118503.12975838748
1190,-118502.88420122892
1200,-118337.34470929753
1210,-118606.8609384234
1220,-118483.59055331399
1230,-118610.09401152692
1240,-118402.24629171788
1250,-118362.51514776012
1260,-118239.33438294633
1270,-118376.60238811944
1280,-118545.74455699229
1290,-118027.04224056516
1300,-118390.95539806497
1310,-118285.23418081124
1320,-117958.6379143739
1330,-118081.86715269083
1340,-118082.05895585511
1350,-118113.60703851971
1360,-117958.02638732079
1370,-117868.01358973162
1380,-117993.95642745782
1390,-118066.49730297792
1400,-117848.38115042973
1410,-118059.54108828923
1420,-117800.8736565374
1430,-117848.51390319178
1440,-117748.38793171034
1450,-117956.0687107768
1460,-117894.53295771062
1470,-117947.36242965909
1480,-117815.98246493179
1490,-117617.37660452496
1500,-117607.5523818006
1510,-117478.60304824551
1520,-117295.69526849766
1530,-117556.57830871473
1540,-117424.77344098994
1550,-116939.38736653276
1560,-117032.84258920573
1570,-116854.29077274696
1580,-117049.40665013611
1590,-116948.96204976772
1600,-116814.43525970317
1610,-117023.55179815908
1620,-116887.97653277993
1630,-116829.98429467941
1640,-116528.15085261545
1650,-116595.76599212845
1660,-116652.83410976923
1670,-116602.75838689136
1680,-116503.11778630817
1690,-116669.92948723333
1700,-116553.44903190201
1710,-116605.4891014043
1720,-116643.1628231061
1730,-116749.35411579988
1740,-116706.54587920965
1750,-116748.76215259441
1760,-116567.7009497908
1770,-116173.3568196984
1780,-116375.02116270494
1790,-116470.00940224968
1800,-116295.4695553853
1810,-116448.46043500573
1820,-116187.58285775164
1830,-116235.04528488507
1840,-116212.41073236862
1850,-116368.50666382237
1860,-116264.02238883314
1870,-116283.96268063437
1880,-116205.93431725734
1890,-115977.02407840033
1900,-116009.3014909603
1910,-116117.62456916153
1920,-116124.58451775169
1930,-116034.63589760334
1940,-116057.12977032106
1950,-116014.71897389682
1960,-115596.34170440226
1970,-115480.78550534142
1980,-115559.88737527237
1990,-115489.63748942199
2000,-115299.9113928715
2010,-115394.69077330107
2020,-115286.26753612928
2030,-115428.08010636887
2040,-115540.52897787702
2050,-115478.97902792558
2060,-115309.95032668827
2070,-115377.8971572447
2080,-115346.54821981357
2090,-115095.69588155887
2100,-115295.672550956
2110,-115136.75200697043
2120,-115409.5750657566
2130,-115371.84879844636
2140,-115161.75970799288
2150,-115216.68211090215
2160,-115504.34169808908
2170,-115301.87967070668
2180,-115311.95069954912
2190,-115205.85800118872
2200,-115105.0276672522
2210,-114923.0211444134
2220,-115167.31731532476
2230,-115065.23800835671
2240,-115063.56962408032
2250,-115018.2633218503
2260,-114993.16350413286
2270,-114955.10039743924
2280,-114850.08896422415
2290,-114771.85519780788
2300,-114811.73666619517
2310,-114768.92638806727
2320,-114696.26842440479
2330,-114837.94506863864
2340,-114858.29130919768
2350,-114802.98710658656
2360,-114847.93734259295
2370,-114705.3819374116
2380,-114585.9514227443
2390,-114828.79313520089
2400,-114976.05131938969
2410,-114926.775916441
2420,-114621.80637256676
2430,-114790.37425152885
2440,-114840.03944982431
2450,-114648.32110781358
2460,-114644.11434083793
2470,-114466.61972940248
2480,-114302.61221437136
2490,-114422.92687060303
2500,-114102.13562032575
2510,-114205.36231064948
2520,-114122.53305465623
2530,-114161.03518577707
2540,-114317.50199524504
2550,-114108.91415693508
2560,-114194.36179508419
2570,-114087.70967949984
2580,-113831.15344916562
2590,-114060.71249379838
2600,-113879.59807073111
2610,-113922.73804157996
2620,-113986.69978315328
2630,-113899.71708888479
2640,-113640.04377571582
2650,-113855.36694146194
2660,-113952.03619520928
2670,-114018.44548175967
2680,-114065.00270939413
2690,-113905.32540436398
2700,-113811.27932379828
2710,-113649.72669163483
2720,-113871.03316460086
2730,-113975.44838392807
2740,-113720.88274729054
2750,-113873.25992141516
2760,-113859.11680563987
2770,-113577.9480226541
2780,-113591.47461641468
2790,-113861.32323108014
2800,-113559.21938348614
2810,-113668.34238504076
2820,-113222.23088880998
2830,-113608.83796273253
2840,-113417.62842159797
2850,-113264.88486168193
2860,-113203.7204016675
2870,-113222.46381225581
2880,-113164.84537022524
2890,-113357.99548544729
2900,-113346.53942274835
2910,-113294.06554778623
2920,-113191.96530429943
2930,-112987.71323421453
2940,-113087.88187712106
2950,-113031.9164613039
2960,-113331.0794485872
2970,-113458.82914607623
2980,-113011.41970888962
2990,-113063.02771935084
3000,-113102.96866046166
3010,-112990.54340430003
3020,-113163.46258834434
3030,-113134.95574445721
3040,-112859.75604168337
3050,-112859.8966767895
3060,-113229.24652727167
3070,-113139.27688325796
3080,-112806.69224626062
3090,-112818.42335009942
3100,-112923.29492541574
3110,-112735.08358893212
3120,-112797.84523735176
3130,-112990.39181529006
3140,-112614.6370022052
3150,-112466.75612735329
3160,-112733.47122773164
3170,-112777.59901519801
3180,-112695.92305791813
3190,-112689.84277120675
3200,-112615.2199131898
3210,-112330.80431963352
3220,-112555.90348022201
3230,-112439.88348730106
3240,-112353.10469741191
3250,-112381.11312845183
3260,-112273.34766277365
3270,-112316.73868243585
3280,-112635.35459876097
3290,-112485.86331014437
3300,-112404.63902291753
3310,-112480.29746095624
3320,-112304.00957591778
3330,-112437.23488506774
3340,-112152.49432900408
3350,-112252.69725425307
3360,-112210.65914809029
3370,-111944.89366662211
3380,-111853.06534903811
3390,-112051.94909840751
3400,-112113.63737477048
3410,-112112.33252061848
3420,-112059.21205114711
3430,-111963.00059461052
3440,-111823.63859669422
3450,-112188.54917241348
3460,-112166.25843733872
3470,-112218.09315867627
3480,-111828.19519986282
3490,-112265.90057404272
3500,-111884.56160994976
3510,-111783.23953533641
3520,-112151.41124819334
3530,-112084.91322829784
3540,-112000.58130117698
3550,-111873.38153752996
3560,-111831.8522871749
3570,-111928.35569265223
3580,-112011.02692872034
3590,-111869.97886547317
3600,-112233.8029683117
3610,-111847.45694621367
3620,-111732.25902041413
3630,-111978.4408982081
3640,-111847.73148312441
3650,-111474.96780243504
3660,-111909.67447392942
3670,-111952.74817563694
3680,-111704.09607454356
3690,-111616.70831806681
3700,-111810.96779046718
3710,-112079.70758872948
3720,-112065.00892421907
3730,-111792.5269738224
3740,-111857.06660295157
3750,-111681.66950258221
3760,-111634.63855236676
3770,-111631.97922193169
3780,-111500.70958957178
3790,-111398.1717457768
3800,-111220.58018329585
3810,-111240.4817074475
3820,-111559.7453613266
3830,-111399.37280342425
3840,-111296.79716217185
3850,-111361.20741564677
3860,-111270.90948573375
3870,-111378.42939991348
3880,-111262.67642196214
3890,-110984.12435462544
3900,-111189.90458676092
3910,-111346.62394899124
3920,-111368.70258379515
3930,-111294.34892005578
3940,-111019.54191310005
3950,-111004.28233382957
3960,-111193.57119356054
3970,-111255.43996739994
3980,-111365.3603491188
3990,-111157.48363134213
4000,-110819.63354272886
4010,-110853.27628206817
4020,-110928.38440770419
4030,-110822.63090468627
4040,-110504.11919478365
4050,-110765.9806974261
4060,-110210.3489725216
4070,-110332.58795715438
4080,-110430.2436890862
4090,-110553.52433295382
4100,-110747.79235603336
4110,-110520.80153169314
4120,-110304.9126429241
4130,-110158.67244203362
4140,-110417.92631044856
4150,-110053.79782207895
4160,-109921.19696031415
4170,-109947.64472799117
4180,-109873.65817153806
4190,-109989.07003414884
4200,-109920.52516772978
4210,-109839.48458320834
4220,-109766.26484047691
4230,-109812.74260942884
4240,-109523.90774801058
4250,-109634.00012081224
4260,-109740.9164484651
4270,-109869.88024040549
4280,-109961.38410956136
4290,-109976.08561708007
4300,-109936.46620956932
4310,-109758.93430831902
4320,-109568.34385801594
4330,-109610.54903166486
4340,-109575.39083659973
4350,-109790.57891900085
4360,-109881.74392486442
4370,-109873.52965812525
4380,-109694.47301223135
4390,-109930.6106841013
4400,-109566.71256528582
4410,-109680.43807710284
4420,-109392.11542268036
4430,-109542.85084201503
4440,-109403.20319075149
4450,-109534.63195790221
4460,-109923.56978120681
