,f1,f2,vowel,learned_cats
0,654.1753274642676,1227.3232464434282,o,10
1,575.6579538225428,2119.9648199945796,e,62
2,624.3224754628675,2083.5265029071306,a,56
3,650.4048988652519,2497.595261510175,e,35
4,624.7850628497837,2299.835760274611,e,35
5,536.6407338450832,1635.874424582249,o,4
6,252.286246717033,1643.9388458571798,e,72
7,334.6937762964099,2626.0955857470276,i,27
8,490.9239276573638,2083.34606705451,e,28
9,791.7290706082024,2133.273317837922,a,0
10,883.232303815493,1887.9375417055044,a,42
11,517.0147684016994,1268.9008978103855,o,60
12,722.8106427254927,2414.820399003225,e,11
13,542.4739481333883,1612.6477477429876,o,40
14,503.40323633720294,2225.4987828295266,e,27
15,487.05210701000277,2330.9782022709032,e,59
16,334.10799687328876,1593.0780910842482,e,5
17,660.7071539796827,1531.593603157852,a,26
18,631.4617913796006,1756.241913008276,a,13
19,418.63071478409,1175.4882989973526,o,66
20,399.1022402861761,1890.919942639081,e,40
21,767.9108517177383,1990.116878532319,a,3
22,440.92280511585034,1951.1831971274148,e,24
23,523.4191781821452,2025.1134793062643,u,24
24,323.7229237234769,2707.9884039578415,i,41
25,406.6896344980961,1921.323684736354,o,2
26,568.485229990493,1982.751031667323,e,24
27,458.02479281727443,1278.6261257872418,o,21
28,149.50903633430502,1174.4523403566652,u,68
29,362.7389062921535,737.2623520525256,u,59
30,414.965627541568,1986.5255895494204,e,39
31,483.79848498333797,1954.0899345151993,e,1
32,716.6427186367853,1317.32595372105,o,8
33,467.9313881862935,1803.2021389440442,e,26
34,595.4515336149509,1722.7867484979786,e,36
35,506.5712864065792,2419.9981159982676,e,63
36,549.9103490094927,2049.2101184992657,e,54
37,409.1807494414783,2908.728453067917,i,52
38,445.4800947315134,1302.0091069905154,o,49
39,582.2196909017368,778.2140141119562,o,23
40,635.4781020171401,1875.8106878617355,a,4
41,341.821118216189,2133.2315504272865,e,64
42,434.99324274176183,1263.6566988759078,o,49
43,287.1124925366155,1125.262318857436,o,42
44,686.8899478464504,1784.4845946036355,a,35
45,404.5379534989009,2875.739125156011,i,60
46,600.5234784378381,1129.4480389047835,o,53
47,553.7101238004029,3354.806250937269,i,20
48,306.6959682797135,1319.7691732760034,u,27
49,564.4091585613229,2638.3565877986516,i,28
50,478.298335325687,965.0930062047439,o,70
51,657.6726319105403,2022.2839472854166,e,39
52,419.90344926433426,1952.8194239540644,e,40
53,573.007491854625,2384.130032966107,e,51
54,851.1903877084317,1414.366989055502,o,27
55,619.2624665793713,1703.0855516447198,a,38
56,449.24970170100016,2468.8784032541316,e,25
57,712.4971211488488,1980.8713688455875,e,39
58,352.4508213644172,1637.318023455431,e,42
59,406.70088778142116,2567.4832010898554,i,47
60,489.00165123405543,1673.5987850408562,o,73
61,533.4879556111665,1501.0098513944383,e,37
62,158.7569581016101,1434.3771103555296,o,27
63,471.6334016451285,2024.1000121325662,u,13
64,297.90792639719825,2114.8123053881704,e,14
65,692.2354951912547,1642.814153652921,a,17
66,558.8995275729535,1822.6821557697642,e,58
67,451.320992462698,1294.6101196463203,o,35
68,546.0187801871848,2278.9999995389135,e,51
69,1105.1540491107453,1551.7076858269052,a,29
70,404.3494453315617,1498.8286194212437,e,34
71,415.141211164855,2241.281067624015,e,74
72,573.1240358428654,1148.1112672013342,o,12
73,321.95302143604926,924.8996976810489,u,46
74,611.8926788683565,1443.7638127926673,o,57
75,511.75214097318815,1262.681776201191,u,40
76,562.7243370796348,1298.683692302682,o,47
77,362.7045442692555,1949.6378077125862,e,8
78,589.2241763870885,1606.0151983096225,e,27
79,484.1165159462785,1657.7866194522114,e,47
80,504.7469765630164,1307.4276923014763,o,57
81,660.2907107209495,2460.9981271798156,e,15
82,485.0011488094151,1151.0382812828807,o,66
83,745.2791359005593,1686.3136039221347,a,39
84,521.512382976053,2515.4204939498445,e,36
85,468.2810951990451,1599.153644016099,e,33
86,406.563112887237,1141.9559833081835,o,37
87,326.7001916724126,2052.9087318493025,e,50
88,422.72266778659855,1571.223399840834,a,23
89,701.1821921793793,1977.1612362754613,a,33
90,433.94052534771936,1966.6597312315612,e,51
91,458.65859918346985,2155.9092469063044,e,70
92,738.1171456196671,1683.668164343936,a,1
93,456.1384951674604,2054.8757816071875,e,36
94,450.45996019695093,1316.703941674615,o,34
95,506.1495611715816,1864.59570500663,e,14
96,965.2785624067386,1608.0278028074995,a,13
97,530.9482429879422,1121.629466134729,o,37
98,455.2399772477618,2329.4398911809135,i,20
99,733.8936553829822,1918.063499711208,a,61
100,583.9197823006102,2047.1758854776533,e,3
101,420.82947359289665,1964.4108843281733,e,55
102,517.4698326651633,1610.3590778541582,e,30
103,664.119488499451,1612.2252416566532,a,2
104,825.3900232810838,1910.9323559505594,a,30
105,607.3795656596038,1299.8692958568026,e,47
106,607.9562573372802,1531.3761026684597,e,8
107,551.3087509168025,1112.4605136391954,o,41
108,574.9397310266451,1752.3691178039933,a,56
109,400.6337089592924,2146.2726531469725,e,8
110,491.92932114331484,2344.0343846526334,e,52
111,615.9068757232151,2042.1903840787418,e,38
112,562.7098115600171,1574.7702451795733,e,10
113,557.4756385684003,1901.4204375534814,e,30
114,271.18277271044235,952.6361165891377,u,15
115,710.1253943959719,1455.9071241422103,a,65
116,235.46541328967726,1576.928215607863,u,22
117,859.297458598835,1722.911522589651,a,44
118,622.0454562168445,1650.502613571646,a,21
119,368.4698735243472,3079.071557039078,i,53
120,537.4556889173714,2374.355122847238,e,66
121,601.8146364766233,1776.8566942254447,e,43
122,235.73117785670846,1080.821626397814,u,6
123,577.6946728967192,1244.6347369879597,o,67
124,814.424522829908,1695.805768847612,a,71
125,585.964222431064,1509.6092200595776,o,19
126,536.6133585224562,2105.8444399119035,e,14
127,563.6164039623874,1987.1991312906373,e,30
128,551.0401189556325,1876.5036575439942,e,51
129,628.6622070798294,1731.817010615852,e,46
130,622.4904924070828,2080.4906466512057,e,76
131,510.86342011673645,1891.3701306046328,e,17
132,427.76162255642294,1360.7264382133974,o,68
133,841.1026492236876,1753.1477277419076,a,40
134,694.7315266395425,1693.0963031372826,a,53
135,615.6084691440138,864.4446313952019,o,45
136,567.8641770824469,1553.5799426728995,e,44
137,740.2230988571765,1529.4448276931873,a,13
138,616.3899102326106,1458.2746625605216,a,16
139,331.45643269475056,1333.340330181094,u,27
140,304.99437961134487,2442.195321046771,i,2
141,560.1102661962966,1690.5382762479226,a,27
142,575.3319797586182,1943.5796578426607,e,6
143,410.445737179533,1508.662130415259,u,63
144,388.30934351075996,2990.0082225644837,i,24
145,609.997484653631,2240.7521551292525,e,20
146,319.49839898421766,1025.1483858812915,o,59
147,687.3827546099577,2184.629895221093,e,62
148,735.7892656458604,1721.579289653339,a,29
149,396.41830976912,2250.4093153657946,e,23
150,542.4040706926038,1720.3552742630543,e,67
151,515.1800283620647,2182.9493956295723,e,7
152,486.128369016626,1684.865923823324,o,3
153,579.1597309686161,2194.5227751275415,e,75
154,579.7380081409038,1247.949963942618,o,50
155,545.055036107603,1421.5706267091293,o,38
156,232.4311180503231,1079.1428418325522,u,21
157,393.1934659635975,2980.1143265148153,i,24
158,658.4163658630929,1961.6481052457348,o,70
159,554.3445092895917,2057.1052359621176,e,55
160,919.0480578625104,1783.6775871678904,a,14
161,448.64629086704736,1494.319610840158,a,46
162,474.6644964612781,1030.5796799049278,u,40
163,236.4697820110364,2197.3224269413167,i,39
164,695.2510204390617,1805.6665238201297,a,19
165,571.252147980706,2221.6633068406413,e,16
166,752.8699566710402,1705.244647540506,a,74
167,669.2080644517081,2167.041988839611,e,3
168,420.12136938423475,997.6504147024787,u,26
169,533.0423379025148,2157.9482626363156,e,72
170,568.7359443772551,891.6784647458389,o,35
171,613.8920893920341,1700.5724762213774,a,57
172,933.6298045090516,1415.443801401682,a,59
173,432.12193663152084,943.6129549357236,o,2
174,588.3549617600079,1936.1615167101593,e,4
175,573.1528670752084,1628.6838026980886,e,23
176,444.9176767726251,1433.6544067384148,o,0
177,692.4580956942531,2391.812643133665,e,29
178,641.6255840760367,923.5930896102107,o,21
179,753.5660680602336,1904.4655101458052,a,71
180,549.8827340024557,2254.6706934339427,e,18
181,636.8351208984682,1797.1437078106314,a,40
182,842.3288816820158,1970.8734012230516,a,47
183,863.4845716139392,1945.2442939409518,a,37
184,693.8145241749378,1780.4435062745904,o,47
185,457.2484641615906,2271.8503113376373,e,46
186,633.3911657531424,1433.4940622977401,a,63
187,547.3096402428356,2053.535837422024,e,33
188,630.4919809967735,2310.195851069365,e,39
189,436.00115287010794,2419.3799318109914,e,55
190,601.1820261873994,1972.4032851288832,e,67
191,426.9480745014666,1576.0746709900466,o,30
192,753.7388701210394,1837.507989229932,a,37
193,459.93330207365443,1732.1376116174272,a,30
194,607.8203360091516,1361.8198957702048,e,37
195,640.1071578738682,1412.7448422869734,e,19
196,495.9302451234409,2053.1143467997135,e,3
197,469.87240002045075,1076.3471213553917,o,77
198,550.039623389695,1429.2960564833934,o,50
199,382.9139414465404,2024.3393679878873,i,62
200,753.4847650980267,1497.3124874229175,a,28
201,556.7844222714357,2271.5675319023007,e,36
202,469.4563996568738,1852.7555335389893,e,56
203,420.8982240389118,1426.3489629257228,o,48
204,734.0498010952108,1809.0004038664244,a,66
205,364.41776235111035,1085.057090245746,o,40
206,450.91463834071664,2001.9157338244963,e,50
207,599.9565286117057,1997.0798830144417,e,20
208,503.1562958012412,2090.961780959135,e,73
209,295.7446232136179,840.7113337756094,o,15
210,498.5645543310735,2204.5969728937594,e,12
211,441.61270684836,2483.3816254644066,e,6
212,624.0282693229029,1665.9968102798816,a,65
213,1010.3118774628663,1302.7466904276948,a,68
214,426.500453946257,2739.542307295079,i,0
215,567.3765840387273,859.3442553209923,o,8
216,583.1032760066979,2603.967097640203,e,64
217,662.2712860472957,1816.9339620003552,a,47
218,840.925817268986,2099.678917842972,a,4
219,563.2865165337653,1431.9095175526024,a,77
220,620.935829079393,1732.5635923917714,e,36
221,225.36171016183937,1203.5846849219358,u,22
222,878.3553527900516,1908.2998508592007,a,26
223,413.8824255580533,1696.2510200349116,i,18
224,275.4258792799916,1950.5821609677878,i,13
225,501.7675408516543,2247.9177863529258,e,12
226,499.30957580319824,1814.0128481153354,o,31
227,792.1141101633416,1547.4673882027932,a,23
228,546.624979490649,1272.6885818674996,o,62
229,313.1243518517573,1487.8876359005494,a,41
230,647.754593763677,1949.0306316756182,a,35
231,484.53029904117665,2037.6436579313943,e,27
232,492.2672343382469,2168.2502574507134,e,74
233,646.6523141881204,1468.2478796040043,a,1
234,751.8692878107227,2090.365223620351,a,9
235,468.03967510085806,1551.3989899475046,e,13
236,422.78044360678297,1207.168328088367,o,11
237,311.94201059258717,2272.9618310220185,e,74
238,659.1553166470378,2135.2275478288216,e,23
239,458.8990278301837,2083.8184731647134,e,46
240,562.3780336244707,1230.1096849865285,o,20
241,445.2222337967027,2141.6774273074407,e,66
242,651.4247818832674,2065.3308824296014,e,13
243,490.862622750519,1246.3172801495534,o,78
244,753.6385353664126,2247.6087914468726,e,37
245,610.2439028539925,2069.80272373014,e,30
246,468.4952561876054,1521.2011788463274,e,56
247,496.0294420434815,1991.7102817402385,e,4
248,591.8610326390097,2421.5036247074945,e,27
249,456.39919517305566,2301.7137949213743,i,56
250,573.7692938850081,2241.9271545178003,e,33
251,334.86048676056083,1858.7659623250565,i,7
252,613.0554979620754,2473.507966160798,e,27
253,617.3921563782792,1253.007437496779,o,28
254,628.5457644731731,1809.2284498714887,a,16
255,612.2785199705395,1176.071356374401,o,61
256,561.7826776436265,1298.8823736264435,o,21
257,464.02262809258775,2364.2946884742446,e,14
258,779.5104021941784,1651.1992449342697,o,66
259,381.893103778216,1207.3123918283757,o,60
260,680.7658551037248,1747.4850862370017,a,7
261,531.7313449595165,2353.8713586673525,e,45
262,906.4974508232198,1749.355913527312,a,9
263,399.83707358410476,2582.4803643542045,e,58
264,503.60864120600934,2179.664477996951,e,71
265,438.8747781597732,2114.8936048040077,i,41
266,424.52038706010757,1193.4737478648742,o,37
267,680.8753960720426,1445.2300331291215,a,52
268,455.1304791644353,1132.4524527512426,o,46
269,771.451192538224,1551.3858430792422,a,25
270,440.2102795956354,1584.927121649418,a,33
271,524.1710117543926,1762.112036753505,e,10
272,794.7260091910395,1531.6185432035313,a,60
273,541.0657639611815,1389.454634795767,o,2
274,353.8103590143427,2203.16698342395,e,54
275,548.2939520254383,2009.7978381395176,e,35
276,412.0920067186146,1427.7535304960588,u,63
277,426.74794794311157,2106.707936419596,i,25
278,621.6581438123789,1813.156032711709,e,3
279,607.6936297385405,1596.4056397715933,o,18
280,511.1969479565697,1167.1168657816418,o,30
281,703.6820561132413,2219.4831254180135,e,3
282,594.6540858718733,1479.058064191673,e,44
283,433.50696722509684,1987.9254945027362,e,32
284,370.49716952476047,1744.6946385066599,e,64
285,460.8414276467953,2311.141154099128,i,10
286,735.1172796917226,1936.1532992042635,e,19
287,642.2071386040008,1721.026274634516,a,35
288,649.6265968600563,1356.4988415605585,a,21
289,334.5156571521403,2602.987919120756,i,47
290,795.8373155776349,1711.3232073778697,a,47
291,615.1563713143204,1407.8958011192303,o,3
292,715.0558249301058,1497.9959917415363,a,40
293,626.5927215928084,1238.475486655599,o,47
294,394.5192709862473,2009.936257923569,i,3
295,468.5589747740957,2675.002526236789,i,23
296,360.1779544176245,2316.7792044579523,e,43
297,492.3998237148609,1629.1741434563833,a,38
298,757.3315655786996,1746.1943974541455,a,3
299,688.2654093712734,1857.3522675960253,a,67
300,276.96766704581376,1534.4734808716803,u,13
301,737.2563151487482,1765.3444007068586,a,60
302,844.0072695166849,1914.7087036214473,a,22
303,403.78308122981593,1628.7100412163247,o,10
304,567.3712929152114,2191.0711726000054,e,34
305,509.32047506122,2177.5755363598187,e,35
306,329.9936578299355,2808.1631178177868,i,48
307,739.0018727313945,1421.276004905064,a,39
308,832.2591571437113,2051.000256641724,a,14
309,436.5181048552813,2112.334323095852,e,12
310,571.515150762993,1449.1257299863812,o,40
311,677.129111960349,1790.592015396373,e,2
312,580.8250242109626,2448.7883444503104,e,73
313,509.45106909256464,2155.6954848304827,e,68
314,541.5692909855253,598.8340878791759,o,11
315,582.0450777278509,1523.7431532571259,a,64
316,878.7362615740032,1630.4281509892012,a,17
317,508.4115783826118,1066.4997692642346,o,12
318,565.190355866697,1576.5233105502987,o,49
319,949.8752775048674,1858.6173954183757,a,31
320,563.4079634368403,1853.4663862666093,e,14
321,830.074275543886,1751.7461304114217,a,44
322,442.53224424594083,1599.5471935478126,o,54
323,784.7045886296302,1465.6424290533284,a,7
324,241.6114625523003,2443.9392790488323,i,33
325,605.3333842658592,2404.9818838441124,e,6
326,664.0054881772373,2215.6137217617734,e,13
327,490.3733875229465,1237.2857409504945,o,46
328,358.8295731509477,1845.9387942681756,u,4
329,755.9309352980101,2055.855798020727,a,5
330,648.7584482896634,1594.1486890271221,a,24
331,609.1309386448883,1975.451210329255,e,31
332,745.9455719747327,2047.7439193401021,e,35
333,756.5279916721311,1815.86871502565,a,28
334,481.3983536373764,2389.9298789342856,e,58
335,625.2427233645982,1622.8636102441658,a,46
336,366.86034851350354,2524.388583309176,i,63
337,494.07250255618374,1671.833340219387,e,23
338,477.7851638868433,2078.055177187255,e,40
339,806.4006140040389,1730.229812176237,a,44
340,569.7114263924711,1434.2468196743705,a,20
341,555.2827790188464,2359.34323558505,e,21
342,557.8824548979468,1368.3457089618705,a,9
343,607.1739963572126,1655.3104457298075,e,71
344,414.74743770731175,2918.9222597706844,e,59
345,448.8913146015434,2187.9332987851994,i,79
346,435.49337139251935,2206.163113183932,e,38
347,611.880686764974,1585.2224118438799,e,22
348,395.66372841592107,818.2596122999637,o,75
349,674.6131477044433,850.7290013254556,o,26
350,475.3277917699898,1264.5963337130565,o,1
351,604.593936258623,1413.9730548027096,e,43
352,509.90881529755,1316.4108960701244,a,4
353,459.7499631621215,1464.5900421758215,e,15
354,449.4602545328453,2099.2931302476204,i,17
355,588.8151551148528,777.4153764035361,o,60
356,605.1591130266729,2473.886542671814,e,3
357,356.2442725936621,974.4288987831902,u,23
358,387.3195960165983,2520.656628893058,e,11
359,526.8525903264266,2553.0330600470274,e,0
360,312.7572623833214,3007.621578668865,i,60
361,527.0938582041804,2304.2872350655416,e,62
362,475.6310592837391,1425.5763865619942,o,0
363,416.50740252109017,2351.538275005718,i,41
364,633.723576878581,2084.3102536600254,a,35
365,538.7973016787797,1513.1667532943775,e,27
366,863.9338280946589,1686.1765885897778,a,60
367,718.8993063976711,1983.5235778530302,a,9
368,591.6822872985066,2227.854684764008,e,52
369,530.9969203158839,1355.0921537994254,o,32
370,961.4168349217802,1853.993042447246,a,33
371,600.5952178096996,1788.2169002677028,e,0
372,433.63722127383085,2440.3269302115723,e,16
373,511.8865227160157,1680.7138893280846,e,9
374,494.55144418213274,2143.1624974239994,e,29
375,579.909798501087,1181.6169756682607,o,38
376,632.7198187685933,1697.7708446378276,a,20
377,527.3415954777665,1174.3077640449283,a,52
378,304.93964159287816,1703.7576809344541,e,7
379,344.34228538890784,844.4035542258837,o,33
380,464.6791150638909,2012.6505490496315,e,7
381,714.8611453083679,2441.34316728746,e,20
382,758.7405040892766,1189.798941628115,o,68
383,493.9571828486123,3261.8973045064167,i,24
384,579.452899112658,1683.6552468255616,e,49
385,522.0013969407979,2391.15835223495,e,11
386,732.053375867459,844.0252642952106,o,7
387,358.2729467211442,1402.2760697446647,e,9
388,433.4474113451364,2383.7305796617593,e,29
389,349.43616916122016,2022.9677824605035,e,17
390,600.5135173581766,635.2558517639545,o,74
391,893.0708821220198,1672.97686546568,a,27
392,427.80035307404614,1300.1738744002166,o,44
393,679.170793506874,2357.649243754506,e,56
394,372.8789644428526,1952.9776974141005,e,6
395,454.07745883478844,1975.2064807194,e,7
396,616.6157405388212,2264.5127077455722,e,28
397,515.5571802178292,1785.6773521299833,e,51
398,385.1180121069953,2655.9757916884305,i,34
399,474.22037062288035,2062.9701872318487,e,59
400,479.0647476135054,1688.0438249001538,o,37
401,507.91073913456313,2402.6706195748716,e,9
402,387.2940076828785,2924.4863254491,i,32
