,f1,f2,vowel,learned_cat
0,488.91494168562406,2078.67856991243,e,2
1,365.80357013190326,2310.079866451217,e,2
2,487.91904073216733,2300.929321201314,e,2
3,354.5546679217808,1940.186674697912,e,2
4,555.0334556639629,2021.2900865484037,e,2
5,502.9051247359709,2067.3759804129786,i,2
6,485.30916643335087,1696.9949441297038,o,2
7,588.2191990343157,2033.5334571146398,e,2
8,514.6314233994981,1837.819765713274,a,2
9,655.3926391151871,1765.264330779017,e,3
10,498.48562922804444,2151.6884095729747,e,0
11,568.8765080673845,1381.3931311591891,o,1
12,494.4048905068543,1154.9773950854274,o,1
13,524.2340583064948,1285.527690527494,o,1
14,498.25836963814487,2197.898002017135,e,2
15,919.1853397070762,1737.743943130968,a,3
16,547.4647296298606,1684.7105919881596,e,3
17,377.4149928111305,1518.824430938893,a,1
18,408.51592990567383,2057.3411140442595,i,0
19,626.5741746646911,1863.8365881628138,a,1
20,453.829378052672,2587.342340482542,i,2
21,450.5437297994009,2034.528646001795,i,2
22,511.24169395225533,1581.2528022762617,o,2
23,672.7851299075095,2442.371462910589,e,2
24,310.3773501644805,924.6722587170775,u,1
25,540.4558356750159,2356.6708783058766,e,2
26,508.958847350517,2514.2042582865715,e,2
27,521.3303090323914,1798.7658683334453,e,2
28,516.8940800666652,1802.1565758924842,e,3
29,654.5741153608113,1537.5722706283334,a,1
30,416.72991073170095,819.3976598147071,o,1
31,754.8933273050305,1423.5502033089685,o,3
32,488.8172887063246,2192.2103258985953,e,2
33,254.10917573741807,1056.2644529918373,u,1
34,369.94276529353647,2306.916953622799,e,0
35,551.1381439286512,2046.7116268216823,u,2
36,442.2744789727649,2582.6543857087436,i,0
37,696.8384976981383,2533.4197939440173,e,2
38,469.94444830356775,2101.7605636389408,e,2
39,541.6450193333595,1377.8563950948385,o,1
40,435.4971828977253,2462.910964675103,i,0
41,640.0640633700422,1927.9211923160044,a,2
42,594.5093807140761,902.2550302134513,o,1
43,463.0922293134607,1817.6289094666513,a,3
44,462.78343356323694,1534.8885170620622,e,1
45,303.02936691869587,1981.7144090290105,i,2
46,430.9401515794995,2436.7939189446124,i,0
47,562.8712396028386,749.0657265905071,o,1
48,486.93052093200976,2467.4608444899113,i,0
49,528.4823363762355,2608.0884317537016,e,0
50,497.73445246293454,1505.110851421405,a,1
51,625.0005992919589,1502.935855714828,e,1
52,615.5888782885927,2299.3880584232597,e,2
53,749.8794575474324,2027.3936659927342,a,3
54,504.0324096564965,1104.8103157635076,o,1
55,630.6118964713213,873.1800692700697,o,1
56,536.5551161202862,1349.9601710792374,o,1
57,541.7288065805832,1979.1968697096559,e,2
58,486.51218426790587,2440.0892832550185,e,2
59,450.5033197490181,2666.8005641258796,e,2
60,587.3891196518573,1408.0999859680098,e,2
61,627.6408106246131,1020.6363621552764,o,1
62,629.7000236945295,1579.716077811951,o,1
63,560.6336957640374,855.7424578480087,o,1
64,495.90906827576856,2487.8845835713164,e,2
65,468.69756490954427,2318.5056637233392,e,2
66,475.0423025504699,2451.3035961152414,i,2
67,511.08062413864747,1913.874503275892,e,3
68,585.0706936926132,2304.9735238287817,e,2
69,506.36717752059616,2243.0809695310095,e,2
70,414.2647082018168,2365.059630043547,e,2
71,456.9070298615457,958.7506186962926,o,1
72,405.58650474116286,1799.9680128065093,i,2
73,340.9180214163163,1983.6715971291103,e,3
74,679.916685095412,1060.466234735123,o,2
75,459.0167110728854,896.7364898014732,o,1
76,469.6238642416012,787.536386525104,o,1
77,664.650233147629,1901.4546091549103,e,2
78,416.75598357182423,2019.7183780443265,e,2
79,755.1147473745677,1549.3836052357108,a,3
80,694.6261774826313,1525.7480160930002,a,3
81,602.9831675269197,1454.8676931819932,a,1
82,478.72694580691115,1983.8057650419455,e,2
83,545.724533119988,1577.3276658487532,o,3
84,332.230473621402,2551.0325355360774,e,0
85,553.3939795096913,1305.4560949238705,o,1
86,461.33811554067563,1636.7539861322593,e,2
87,585.2664655023897,1675.045946890989,e,3
88,525.0501720704297,2031.9450791350891,e,2
89,391.74443249563285,1073.943817827785,o,1
90,443.344803624811,1230.0883049574759,e,1
91,626.8078824006155,1535.2012061789287,a,3
92,440.8243235067071,2065.058374308713,e,2
93,536.7713495122663,2420.981135931193,e,2
94,447.65082626209744,1372.8229462836066,o,3
95,595.4451334444702,1004.530161474142,o,1
96,455.1706321517826,1948.8632064725482,e,2
97,544.3290356617946,1775.0483007038288,e,1
