iteration,log_likelihood
0,-95453.93623088291
10,-99778.45287726448
20,-100545.36243243891
30,-100915.07901610192
40,-100918.44539071662
50,-100931.25066125196
60,-100919.19534870572
70,-100943.63088879408
80,-100676.99821368538
90,-100515.15943884282
100,-100242.72521847882
110,-100200.53529828605
120,-100037.84020650481
130,-100010.83717097124
140,-100056.4868876957
150,-99946.0958974734
160,-99708.1564236789
170,-99458.35516130205
180,-99481.17986532731
190,-99175.69991796932
200,-99424.1486318967
210,-98831.08729532255
220,-98705.06482074974
230,-98510.51822214709
240,-98389.1702120674
250,-98253.05578932288
260,-98231.44973504115
270,-97939.82704463042
280,-97986.10024345682
290,-98009.72070502795
300,-97885.99968815318
310,-97622.74432634466
320,-97589.60962301661
330,-97221.86531833593
340,-97116.84443681684
350,-96920.57097216987
360,-96895.35090013949
370,-97058.37078647372
380,-96711.13388615298
390,-96680.96055074553
400,-96529.63591198716
410,-96264.01651764566
420,-96269.35455492673
430,-96132.27309362871
440,-96059.45422811201
450,-95943.44655201427
460,-96040.34019369153
470,-96205.99319517742
480,-95880.05339298854
490,-95788.538894865
500,-95688.29932807595
510,-95653.9677704349
520,-95622.29240948334
530,-95410.15719108109
540,-95602.19181009168
550,-95458.0179166192
560,-95523.01866163604
570,-95345.94361347498
580,-95468.02833404182
590,-95436.02020003405
600,-95257.20210438507
610,-95276.12644246324
620,-95175.38692567115
630,-95111.66355062208
640,-95114.99280123992
650,-94848.78827290214
660,-94642.41889353117
670,-94531.75430977679
680,-94562.12578296682
690,-94629.48738342774
700,-94399.53194463797
710,-94249.1202385797
720,-94218.63582640495
730,-94224.08014031076
740,-94069.50182169874
750,-94158.9521670934
760,-94161.33890068962
770,-93956.04344968245
780,-93730.03920674259
790,-93781.48443163172
800,-93847.17101054729
810,-93782.11600997008
820,-93701.62221674892
830,-93726.01275622522
840,-93368.25045750807
850,-93279.04155709632
860,-93244.95692009648
870,-93138.08066737549
880,-93145.26496249255
890,-93046.91235126999
900,-93080.67287551658
910,-93046.72742712617
920,-93104.30271635798
930,-93100.72533177794
940,-93052.57305044321
950,-92957.49886381722
960,-92957.60841953328
970,-92965.44279497002
980,-92862.27375442772
990,-93070.57915850371
1000,-92855.95608624369
1010,-92823.03899252857
1020,-93066.0561581981
1030,-92979.14712461882
1040,-92760.06003817053
1050,-92881.18256473269
1060,-92655.5415464774
1070,-92679.38826707244
1080,-92815.87870826722
1090,-92681.97240944824
1100,-92597.58423740912
1110,-92420.65784167229
1120,-92440.14427267842
1130,-92446.15129880497
1140,-92472.24047047552
1150,-92428.8121016073
1160,-92608.83788473089
1170,-92526.92586811012
1180,-92283.54515213083
1190,-92312.706792808
1200,-91999.75457012671
1210,-92056.36631501002
1220,-92083.00033037244
1230,-91958.84170646414
1240,-92110.32382289582
1250,-92082.79997693209
1260,-91979.02685674725
1270,-91905.32961019444
1280,-92009.06549065102
1290,-91985.92638754274
1300,-92103.09626575779
1310,-91949.87019664171
1320,-91967.21809282903
1330,-91933.86614171331
1340,-92017.65837870733
1350,-91970.52673671837
1360,-91788.47776795158
1370,-91771.35542746758
1380,-91718.0941274596
1390,-91830.32142870304
1400,-91648.6307163958
1410,-91674.91916502734
1420,-91549.66207430007
1430,-91536.58427975932
1440,-91706.15000111295
1450,-91290.70067381307
1460,-91362.808425011
1470,-91334.81031365418
1480,-91301.44169006543
1490,-91449.9256590816
1500,-91518.097994124
1510,-91284.43393921998
1520,-91440.8979852792
1530,-91322.29417390989
1540,-91392.76754065408
1550,-91353.31447767321
1560,-91287.25045816573
1570,-91087.77066567117
1580,-91241.71878789357
1590,-91350.64409963645
1600,-91218.19774692289
1610,-91165.4690520798
1620,-90974.66303647695
1630,-91192.16014149558
1640,-91142.10540592103
1650,-90795.44225078043
1660,-91064.96460784638
1670,-91081.01574181083
1680,-90980.37858013448
1690,-90991.77112831555
1700,-90971.0069053568
1710,-90859.12527847875
1720,-91159.62646813138
1730,-90670.62223521617
1740,-90677.71094300841
1750,-90735.6585197394
1760,-90989.15011513114
1770,-90650.13243732654
1780,-90830.25854806187
1790,-90806.52484901696
1800,-90656.53687092502
1810,-90563.00575181315
1820,-90587.42572026275
1830,-90647.9216087453
1840,-90421.94939022065
1850,-90430.89173520987
1860,-90438.25157646154
1870,-90625.66884622001
1880,-90547.71133484447
1890,-90186.54609944005
1900,-90083.29791098292
1910,-90025.25886551605
1920,-90328.51874271975
1930,-90252.0814806416
1940,-90224.64311774613
1950,-90258.3927588858
1960,-90124.76297860697
1970,-90212.68661124121
1980,-89947.45945528378
1990,-89937.1821614441
2000,-90033.23664330419
2010,-90039.60581599301
2020,-89717.91869510204
2030,-90057.88888504558
2040,-90043.80085550835
2050,-89727.09100219689
2060,-90089.64042981027
2070,-89849.23468889683
2080,-90148.95997133505
2090,-89669.02922665115
2100,-89805.05445996964
2110,-89621.01340508161
2120,-89842.62721922598
2130,-89835.0358012283
2140,-89801.9662515485
2150,-89765.10943741562
2160,-89910.13821226565
2170,-89800.03282104657
2180,-89828.72343931245
2190,-89797.71447785257
2200,-89648.4105567187
2210,-89570.73190166186
2220,-89574.1246817437
2230,-89619.31080080956
2240,-89746.93863552276
2250,-89689.19999319658
2260,-89265.61591818406
2270,-89419.18010937583
2280,-89557.86915656007
2290,-89748.75584940455
2300,-89419.39970479379
2310,-89113.04324268374
2320,-89101.3387331918
2330,-89185.17564882885
2340,-89286.34539478678
2350,-89213.17934864809
2360,-89163.7407695404
2370,-89417.35784090048
2380,-89307.8034761823
2390,-89121.18532509767
2400,-88960.4806858277
2410,-89135.79811347966
2420,-88968.1592924615
2430,-89260.13620587836
2440,-88965.0596979943
2450,-88887.86682112509
2460,-89236.42289889933
2470,-88869.16639135695
2480,-89152.82800438194
2490,-88907.22667371266
2500,-88769.29139750818
2510,-88697.95518312056
2520,-88716.69480454567
2530,-88706.96591834711
2540,-88484.62328277584
2550,-88657.48197357453
2560,-88539.45757259388
2570,-88775.62048970217
2580,-88272.75188696993
2590,-88587.51823243144
2600,-88575.91985848961
2610,-88339.7656891702
2620,-88412.92434063168
2630,-88294.98972418986
2640,-88468.89606990672
2650,-88325.17756730078
2660,-88487.21035752221
2670,-88159.5410659737
2680,-88231.73622220814
2690,-88056.77735366879
2700,-88200.2547719039
2710,-88175.33532563732
2720,-88294.49204430879
2730,-87980.4336839824
2740,-87926.51106976518
2750,-88004.91784778108
2760,-88076.13319401564
2770,-88209.64681021376
2780,-88081.68245615234
2790,-88024.42098351759
2800,-87843.02367794361
2810,-87896.45103937354
2820,-87844.49553087544
2830,-87983.81393895633
2840,-87943.87176552339
2850,-87911.66469056737
2860,-87816.72550167146
2870,-87732.25817856456
2880,-87710.61665109533
2890,-87799.32563589951
2900,-87717.21289866294
2910,-87832.42160516673
2920,-87675.86482085304
2930,-87692.78785676612
2940,-87845.94794923483
2950,-87924.7182421527
2960,-87946.73956682293
2970,-87741.03953648993
2980,-87518.25008654995
2990,-87414.35571340343
3000,-87664.81846695021
3010,-87877.04404626522
3020,-87813.48314854754
3030,-87544.78281245634
3040,-87636.95629867894
3050,-87627.45595863699
3060,-87562.05245264102
3070,-87530.3410451951
3080,-87247.84474412067
3090,-87521.70184006478
3100,-87512.68088260386
3110,-87486.23268005684
3120,-87593.0121021137
3130,-87708.38573123146
3140,-87796.95323738959
3150,-87611.30469985036
3160,-87617.8746548692
3170,-87485.48796390745
3180,-87351.7110783225
3190,-87410.68466716287
3200,-87506.69990269383
3210,-87325.49123507206
3220,-87306.08176546366
3230,-87421.52423627791
3240,-87150.01293046557
3250,-87141.94953911463
3260,-87237.15536957949
3270,-87357.3851765063
3280,-87191.01752286097
3290,-87022.57503709398
3300,-87157.28311514435
3310,-87574.05158912617
3320,-87311.16238188703
3330,-87216.68355820484
3340,-87307.06546058855
3350,-87433.45987906407
3360,-86909.17106387473
3370,-86734.54232431376
3380,-87085.11660232925
3390,-86826.66702840023
3400,-86736.03858620106
3410,-86963.94176950023
3420,-86995.45758203139
3430,-87238.27791639755
3440,-86921.69610537164
3450,-86653.91725144703
3460,-86808.31094741503
3470,-86324.80965773447
3480,-86704.76164552796
3490,-86487.89507730427
3500,-86628.14369887408
3510,-86609.76547119982
3520,-86650.75988786714
3530,-86591.57191431933
3540,-86753.00516270177
3550,-86414.47722426637
3560,-86355.20888570839
3570,-86458.61640242703
3580,-86386.1705752394
3590,-86358.93114480076
3600,-86305.94088104459
3610,-86668.35932482142
3620,-86544.53646592662
3630,-86221.55631267464
3640,-86191.00364444093
3650,-86452.43525336249
3660,-86389.14178513821
3670,-86104.17333438597
3680,-85879.64559298196
3690,-86105.49901335032
3700,-86623.04650670123
3710,-86172.96740344208
3720,-86152.29051475182
3730,-86197.37075039482
3740,-86064.91585077488
3750,-85955.99807631904
3760,-86044.26562932634
3770,-85983.39624557876
3780,-86110.5921880806
3790,-86269.52171367737
3800,-85974.66070467228
3810,-86015.37287603586
3820,-86258.02102974844
3830,-85909.21661847457
3840,-85921.20854675038
3850,-85979.46890256004
3860,-85686.16971764561
3870,-85903.79912170916
3880,-86038.86797030154
3890,-85896.9439344193
3900,-85803.13008039336
3910,-85837.88849287987
3920,-85785.38410527377
3930,-85891.30695199846
