iteration,log_likelihood
0,-96456.73592333887
10,-100194.59737028363
20,-101004.39695804322
30,-101142.81546511324
40,-101219.05750775355
50,-101236.92161476128
60,-101293.90744148547
70,-101298.11559988922
80,-101167.95275886869
90,-101240.55114024633
100,-100978.05322225144
110,-100832.8928392503
120,-100698.00506004915
130,-100607.0193458186
140,-100477.0958514992
150,-100406.30354431862
160,-100180.13922299935
170,-100029.0423948658
180,-99758.87828359575
190,-99700.94738341673
200,-99655.84852896602
210,-99557.3578285985
220,-99275.81035153702
230,-99160.28374820371
240,-99053.85926162654
250,-98938.6048524603
260,-98914.65747971504
270,-98723.32047473115
280,-98712.6931036493
290,-98520.45691067382
300,-98721.62673867302
310,-98495.26754075507
320,-98641.64240617563
330,-98614.0550567871
340,-98556.61878209701
350,-98407.25222310165
360,-98114.79534695747
370,-98175.53386440597
380,-98015.26130906984
390,-97962.7008079125
400,-98005.3317324828
410,-97873.4157457865
420,-97826.5826659188
430,-97683.43705224636
440,-97697.76600669371
450,-97498.01222860425
460,-97429.01708074549
470,-97298.13762354403
480,-97264.50620966827
490,-97413.16116755144
500,-97234.39809178944
510,-97249.72246794066
520,-97113.9703919685
530,-97104.85246559583
540,-96859.16883079398
550,-96824.59615214697
560,-96898.13880602142
570,-96715.22367075807
580,-96624.00250570613
590,-96657.17673241116
600,-96414.54004809987
610,-96581.45561073617
620,-96270.54586516443
630,-96345.48097801112
640,-96277.79750452806
650,-96105.3746243663
660,-96021.36767987936
670,-96059.40473080376
680,-95929.94411464536
690,-96023.45345335937
700,-95962.85194046574
710,-95800.51835018597
720,-95877.58808018919
730,-95786.14638255702
740,-95860.94138303815
750,-95819.9302367147
760,-95568.23528518678
770,-95812.78163855875
780,-95627.97036625483
790,-95789.74560528249
800,-95427.77802998442
810,-95495.26964897159
820,-95360.36779908712
830,-95268.21197090727
840,-95387.42047608233
850,-95269.81620672243
860,-95341.24469050407
870,-95229.3154273961
880,-95125.41862180375
890,-95244.9112946462
900,-95179.52818837951
910,-94980.58887038121
920,-94946.47246900236
930,-94822.76431546902
940,-94828.33538790783
950,-94800.39455199536
960,-94695.74244389326
970,-94557.61185110759
980,-94738.93089481685
990,-94721.85911141749
1000,-94668.46824480547
1010,-94429.5930659378
1020,-94551.39229350703
1030,-94539.50040247399
1040,-94643.64260447779
1050,-94618.92710979187
1060,-94489.13459753012
1070,-94488.00056946489
1080,-94374.92223952318
1090,-94231.48402976207
1100,-94256.2083476504
1110,-94092.84927715876
1120,-94157.28092103414
1130,-94005.92342681464
1140,-93984.03283811189
1150,-93827.53826091514
1160,-93750.5228731252
1170,-93546.60750866956
1180,-93860.65826324215
1190,-93659.58750641771
1200,-93547.0588121326
1210,-93680.82437640041
1220,-93619.86849882638
1230,-93687.62179495402
1240,-93802.85020125774
1250,-93766.80404323182
1260,-93645.52375917086
1270,-93739.21105025659
1280,-93773.94225553147
1290,-93486.86865053434
1300,-93603.84822674518
1310,-93522.11510226617
1320,-93438.32774437203
1330,-93372.15792719061
1340,-93268.38849424748
1350,-93359.51002331465
1360,-93372.83224092555
1370,-93400.60172755268
1380,-93128.49136534563
1390,-93179.70621681632
1400,-93118.7176721606
1410,-93112.98862962094
1420,-93204.02284648945
1430,-93147.31551018107
1440,-93241.92575292476
1450,-93095.97437744039
1460,-93220.46597569143
1470,-93235.33369606745
1480,-93122.09456402324
1490,-92872.5280212306
1500,-93041.15547552945
1510,-92756.70028417466
1520,-92645.74064736828
1530,-92685.23942398734
1540,-92936.89145061368
1550,-92885.88303585429
1560,-92747.18353697415
1570,-92856.64600711087
1580,-92822.12591899271
1590,-92874.86199240496
1600,-92876.39912280823
1610,-92791.46565484651
1620,-92614.57343465005
1630,-92565.6066531483
1640,-92496.7792300285
1650,-92666.15892457373
1660,-92672.51968583191
1670,-92660.64350136757
1680,-92629.80200067058
1690,-92584.85513486636
1700,-92526.40208959607
1710,-92369.55297335307
1720,-92220.01911509062
1730,-92285.84101893021
1740,-92360.69508512996
1750,-92354.75068282447
1760,-92233.77888151321
1770,-92004.62522434985
1780,-91868.96854382863
1790,-91829.17554957853
1800,-91872.58230327995
1810,-91763.91876498956
1820,-91802.56327055578
1830,-91773.08200494404
1840,-92018.51823558813
1850,-91748.20407614471
1860,-91781.17362837165
1870,-91719.42421836426
1880,-91524.69878655273
1890,-91779.00803894208
1900,-91797.9129260341
1910,-91616.58414939379
1920,-91661.97910672611
1930,-91642.3500676131
1940,-91893.42823616182
1950,-91646.01007231377
1960,-91558.78506340613
1970,-91639.96550424394
1980,-91631.3238849658
1990,-91312.4383463052
2000,-91185.55628062473
2010,-91348.1909794934
2020,-91188.50776912534
2030,-91116.91104412237
2040,-90927.7859526326
2050,-91154.00314297671
2060,-91122.76144632163
2070,-91103.97995870467
2080,-90865.23220471293
2090,-90916.90567174144
2100,-90826.29489133762
2110,-90753.10521794551
2120,-90786.40760026948
2130,-90862.65275010314
2140,-90643.07905325723
2150,-90868.62997211676
2160,-90874.29828094984
2170,-90855.42104246686
2180,-91043.2146776089
2190,-90895.27138093082
2200,-90917.13647947308
2210,-90703.82835552667
2220,-90873.61900241916
2230,-90711.5438772226
2240,-90789.84891516021
2250,-90722.4540544136
2260,-90692.22629744036
2270,-90674.3076493544
2280,-90787.45081892118
2290,-90679.03987568036
2300,-90763.62290787378
2310,-90731.73110642892
2320,-90494.8475091626
2330,-90667.33786924876
2340,-90721.1185525794
2350,-90421.6574860084
2360,-90227.30770435034
2370,-90390.13421922573
2380,-90432.52114368038
2390,-90496.3418278277
2400,-90293.82715446583
2410,-90413.96099933493
2420,-90372.7861874713
2430,-90312.99066365526
2440,-90372.10059692973
2450,-90175.94498450056
2460,-90318.51321867778
2470,-90335.48200751108
2480,-90109.63270791309
2490,-90194.0641227409
2500,-90323.14789516584
2510,-90227.79419800614
2520,-90064.29500134187
2530,-90096.73809283046
2540,-90253.01689746606
2550,-90119.9036215294
2560,-90011.72831333858
2570,-90148.96477810758
2580,-89755.05571632262
2590,-89909.0407675333
2600,-89856.75789745679
2610,-89967.25846510389
2620,-89945.03257386433
2630,-89840.32763692502
2640,-89682.81513241146
2650,-89765.34113537506
2660,-89742.01602635352
2670,-89824.79526338584
2680,-89744.42781494028
2690,-89740.56995824874
2700,-89557.8535091641
2710,-89472.21992657032
2720,-89596.61549277704
2730,-89659.98532872445
2740,-89423.09905413596
2750,-89570.52012709015
2760,-89652.66260007031
2770,-89523.83754913678
2780,-89492.50923713933
2790,-89310.63941735808
2800,-89446.49340062328
2810,-89290.41455788736
2820,-89284.70864543361
2830,-89335.00284262213
2840,-89303.8745215938
2850,-89341.31758760431
2860,-89228.82171984621
2870,-89392.31343595427
2880,-89240.62823588264
2890,-89309.34347705053
2900,-89306.9534421743
2910,-89126.13384962313
2920,-89312.16987879698
2930,-89220.10545776458
2940,-89069.12259000757
2950,-89193.40444715114
2960,-89185.49408141685
2970,-89121.09864009748
2980,-89040.17019285046
2990,-89243.7401007545
3000,-89001.93343394616
3010,-89099.69864833949
3020,-88839.3382480949
3030,-88949.02975688063
3040,-88850.56402200594
3050,-88844.65628049754
3060,-88789.9668865203
3070,-88773.8379864312
3080,-88730.03802854207
3090,-88820.78513529406
3100,-88767.22161422158
3110,-88826.89345447597
3120,-88813.51759329489
3130,-88628.28064687416
3140,-89083.63216087931
3150,-88687.29827535053
3160,-88657.96391553835
3170,-88785.52053746613
3180,-88522.92347689407
3190,-88472.8421997953
3200,-88529.41942914926
3210,-88736.22009937125
3220,-88571.04868846897
3230,-88587.97928168577
3240,-88495.45199320572
3250,-88613.45776082421
3260,-88519.68004220685
3270,-88714.54970836814
3280,-88579.61620482389
3290,-88753.59013848905
3300,-88508.60656008367
3310,-88421.42914963746
3320,-88472.76882559429
3330,-88407.20314566734
3340,-88364.69972210973
3350,-88267.93660972369
3360,-88242.83344594752
3370,-88415.25201853013
3380,-88265.35855126462
3390,-88361.32390868757
3400,-88166.32683210488
3410,-88075.40443388397
3420,-88187.59682084105
3430,-88398.40898324987
3440,-88538.80257838691
3450,-88256.60886775078
3460,-88252.52533334175
3470,-88217.31382459647
3480,-87897.47280824024
3490,-88303.49378582078
3500,-88257.1577624376
3510,-88143.83824175008
3520,-88092.08903407019
3530,-88238.75135358203
3540,-88158.79680152153
3550,-88385.01736886153
3560,-88160.16884179332
3570,-88080.11388485157
3580,-88148.95321800915
3590,-87953.06147224393
3600,-87718.16623452301
3610,-87986.22010467484
3620,-87844.45760955026
3630,-87852.49363340822
3640,-87945.29020442195
3650,-87651.00971487431
3660,-87445.22216391317
3670,-87414.33173904411
3680,-87459.46127447988
3690,-87643.56647445972
3700,-87414.97212044171
3710,-87798.78994732296
3720,-87552.95234335752
3730,-87472.41158013126
3740,-87536.02717494845
3750,-87406.29953457868
3760,-87275.13204328602
3770,-87626.73064202999
3780,-87514.9667919816
3790,-87580.17859001459
3800,-87287.72313535186
3810,-87507.51432503767
3820,-87356.30190623025
3830,-87255.06640822919
3840,-87066.75039005824
3850,-87146.91085082959
3860,-87297.06877638491
3870,-87360.7869507973
3880,-87541.94774559751
3890,-87323.0686420981
3900,-87419.35535745331
3910,-87020.18066479829
3920,-87096.66679665323
3930,-87007.33472021669
3940,-87297.06753560966
3950,-87403.24792281176
3960,-87260.98641398882
3970,-87113.35491865936
3980,-86897.31698008088
3990,-87062.28852344444
4000,-87050.44540188559
4010,-86817.81348260854
4020,-86948.0091460181
4030,-86978.49194002303
4040,-87056.05101800658
4050,-87020.41879213344
4060,-86850.64927626037
