iteration,log_likelihood
0,-96036.38588644427
10,-100198.15436330775
20,-100801.44809745398
30,-100973.20131596559
40,-101009.46677019338
50,-100793.76267654228
60,-100809.15267998062
70,-100607.36245984439
80,-100441.41466050174
90,-100461.17813642275
100,-100268.91872702338
110,-100332.49278399075
120,-100413.78141416737
130,-100189.90568439082
140,-99790.30064874463
150,-99707.59440833094
160,-99343.9492642115
170,-99361.22025303866
180,-99358.4167951774
190,-99079.1638909331
200,-98915.34082834233
210,-98811.220535512
220,-98725.569828381
230,-98489.75587131758
240,-98316.3056597349
250,-98178.91623801504
260,-97994.0058109917
270,-97885.3131163454
280,-97902.98099701131
290,-98047.87908389536
300,-97713.23197442724
310,-97585.89964049231
320,-97331.47464897104
330,-97401.40862726959
340,-97197.56738540425
350,-97076.24168655102
360,-97087.71087548211
370,-96920.97558021803
380,-96988.8831005949
390,-96797.9991809448
400,-96674.71530058043
410,-96507.56828035528
420,-96465.14555803059
430,-96467.54653681583
440,-96433.47866357447
450,-96207.18213613798
460,-96181.35488192184
470,-96169.78489505209
480,-96119.7204555052
490,-96063.76692377283
500,-95919.76011080499
510,-95965.60050994995
520,-95783.09208813412
530,-95756.42559996265
540,-95639.78261637577
550,-95377.80518177006
560,-95490.53637673313
570,-95639.08743997685
580,-95243.1091817084
590,-95214.48361636446
600,-95220.92235478634
610,-95369.55668053227
620,-95118.76165014632
630,-95069.16650463153
640,-95108.89465276906
650,-94966.98015029784
660,-94912.76593303883
670,-94762.74165846629
680,-94532.2927558232
690,-94534.37979693586
700,-94561.99274807634
710,-94449.62856492898
720,-94309.4184394025
730,-94313.04372465205
740,-94284.39960900921
750,-94411.62925961305
760,-94090.419959417
770,-94139.9636796113
780,-94155.99911496733
790,-94085.47800592663
800,-93760.45516243947
810,-93872.32541596299
820,-93944.57354309218
830,-93908.64713434782
840,-93889.43477006991
850,-93848.92971651541
860,-93609.00965972937
870,-93538.61021767778
880,-93602.10975105224
890,-93523.33419783173
900,-93524.17984963392
910,-93530.86471214381
920,-93286.83948888525
930,-93321.97478318226
940,-93315.08949324363
950,-93335.95525711935
960,-93309.94925004896
970,-93221.46086546329
980,-93454.77699496713
990,-93303.99772883728
1000,-92964.98758500649
1010,-93080.5001675193
1020,-92839.22925825596
1030,-92961.63010712666
1040,-93016.14242808965
1050,-93042.90887119406
1060,-92890.32275310499
1070,-92821.69286430973
1080,-92684.00945578018
1090,-92775.23924716449
1100,-92688.60985245366
1110,-92917.12456200119
1120,-92894.48459858265
1130,-92688.72136599573
1140,-92741.71164448447
1150,-92809.44125989749
1160,-92737.90499775641
1170,-92662.51924633374
1180,-92542.18717703981
1190,-92386.46814927552
1200,-92278.23368769366
1210,-92311.60333423449
1220,-92281.9277553224
1230,-92217.05098821806
1240,-92339.01812390857
1250,-92406.30093144882
1260,-92275.84925143275
1270,-92024.46654084897
1280,-91999.71627084553
1290,-92405.51590745777
1300,-91933.75153536069
1310,-92097.69887102001
1320,-92083.07799403799
1330,-91824.05690268773
1340,-91797.99629992846
1350,-91747.16682054737
1360,-91737.79931360713
1370,-91863.22408047513
1380,-91601.99434974411
1390,-91818.5577929266
1400,-91940.75361036515
1410,-91703.98397960304
1420,-91436.5056248076
1430,-91537.78297782756
1440,-91412.35372723173
1450,-91315.78764195106
1460,-91510.45866885211
1470,-91405.32114923139
1480,-91496.0274313437
1490,-91145.31585217998
1500,-91239.85294593044
1510,-91377.28913513597
1520,-91242.29594996112
1530,-91414.80136245923
1540,-91111.92770849573
1550,-91299.62241278077
1560,-91193.45701367375
1570,-91194.15992417993
1580,-91322.18515195364
1590,-91237.87044317393
1600,-91050.3878180774
1610,-91146.32745996564
1620,-91185.27131401925
1630,-91028.66676204439
1640,-90989.92010242611
1650,-90976.36404865353
1660,-90978.1100577794
1670,-91082.44351958219
1680,-90793.74173991458
1690,-90876.29839403942
1700,-90796.7863278953
1710,-91020.35510293726
1720,-90854.5737880237
1730,-90935.27163835669
1740,-90583.91022298862
1750,-90861.3925095791
1760,-90609.55120218638
1770,-90720.59196997114
1780,-90506.99234235594
1790,-90714.43781584686
1800,-90339.38289459684
1810,-90401.08715496877
1820,-90356.71596127911
1830,-90333.00651593719
1840,-90456.91219494258
1850,-90259.45142221378
1860,-90479.8004994799
1870,-90508.06096084513
1880,-90172.46197665166
1890,-90131.18638783749
1900,-90071.4634797005
1910,-90310.81536475357
1920,-90136.78038898003
1930,-89962.7192742269
1940,-90187.82845478607
1950,-89944.48820073955
1960,-90009.01687013771
1970,-89804.7249136555
1980,-90099.3645858818
1990,-89908.39439112338
2000,-89670.19535153835
2010,-89623.70792451486
2020,-89861.67064782261
2030,-89755.39095955052
2040,-89683.91076666574
2050,-89596.14806701572
2060,-89474.56986551845
2070,-89701.77703923553
2080,-89778.13835235365
2090,-89588.88021725921
2100,-89511.04702137073
2110,-89533.16760405645
2120,-89639.68826672029
2130,-89458.5619494082
2140,-89328.64322285444
2150,-89896.22970928023
2160,-89569.15354312322
2170,-89501.42056149124
2180,-89369.45262679295
2190,-89446.28969634596
2200,-89293.73082390346
2210,-89464.02125974029
2220,-89366.33435365371
2230,-89256.36706398946
2240,-89305.99855975175
2250,-89286.2049922428
2260,-89073.61194869256
2270,-88889.6375300058
2280,-89121.65975360274
2290,-89090.71045996495
2300,-89260.67415436215
2310,-89029.90909875801
2320,-89026.19974722645
2330,-89138.04578814877
2340,-89284.70657112682
2350,-88933.74697122264
2360,-89016.76177189776
2370,-88972.9798740448
2380,-88925.47549833967
2390,-88856.18589655688
2400,-88725.1027952137
2410,-88881.78103658224
2420,-88766.2636004399
2430,-88799.66908702678
2440,-88532.14630019112
2450,-88637.90253764916
2460,-88672.24177112881
2470,-88864.52177181686
2480,-88487.14082183414
2490,-88637.29779341738
2500,-88535.7043606497
2510,-88522.2954182974
2520,-88748.998556726
2530,-88516.24177392307
2540,-88612.98913577855
2550,-88559.645833001
2560,-88436.85271407105
2570,-88570.28373451777
2580,-88510.40336811313
2590,-88639.2333921076
2600,-88529.00866541427
2610,-88406.60118483554
2620,-88279.89970233999
2630,-88571.0490375897
2640,-88352.04343298163
2650,-88322.1703637059
2660,-88587.32735021572
2670,-88349.72470973048
2680,-88264.22163028008
2690,-88447.28118725403
2700,-88512.9387867245
2710,-88661.73666510115
2720,-88280.69014139382
2730,-88329.64079023853
2740,-88198.64130736518
2750,-88339.44407442615
2760,-88139.5346766649
2770,-88131.31118280115
2780,-88146.34158327842
2790,-88133.59499645946
2800,-87992.94781023567
2810,-88035.01657847369
2820,-87773.75464410667
2830,-87788.29273592826
2840,-87939.52868568659
2850,-87884.33917038306
2860,-87752.77724066179
2870,-87890.21065087937
2880,-87882.61592707766
2890,-87799.52096238549
2900,-87688.55772113564
2910,-87655.37506328359
2920,-87501.83791636165
2930,-87710.20702695534
2940,-87567.75501040398
2950,-87604.2973919443
2960,-87606.07563217996
2970,-87539.17017789782
2980,-87452.1049824625
2990,-87669.6303094941
3000,-87599.10836305018
3010,-87473.27180049791
3020,-87317.81124187744
3030,-87431.14658103403
3040,-87383.1345874696
3050,-87221.32021554495
3060,-87161.31396781126
3070,-87403.40814760183
3080,-87258.80328704981
3090,-87206.7995861995
3100,-87345.90977417119
3110,-87373.03759140059
3120,-87180.20281503459
3130,-87040.4317095547
3140,-87106.97327469086
3150,-87255.23952177318
3160,-87006.16677336478
3170,-87196.05213634335
3180,-87264.24210090899
3190,-86968.25856663354
3200,-87029.43069748902
3210,-86939.94600310855
3220,-86605.46457225854
3230,-86961.5806818365
3240,-86976.94730562618
3250,-86869.42322830853
3260,-86621.7667428125
3270,-86635.69848980573
3280,-86710.65185908465
3290,-86848.51352388557
3300,-86718.48762638368
3310,-86662.81529627011
3320,-86666.05579554586
3330,-86711.1811015626
3340,-86531.21611216241
3350,-86746.22486162283
3360,-86509.28761864203
3370,-86341.54389299615
3380,-86326.6440546359
3390,-86406.43726343442
3400,-86397.00412202199
3410,-85910.83201849855
3420,-86119.43964664289
3430,-86285.85737225348
3440,-86099.44668935324
3450,-86378.65472550574
3460,-86406.55947422225
3470,-86359.13197431967
3480,-86039.19646442536
3490,-85998.80299816532
3500,-86140.43156238964
3510,-86145.35059032253
3520,-86224.75549029766
3530,-86235.69535810399
3540,-86420.28752443154
3550,-86210.16745762469
3560,-86473.47843808294
3570,-86263.55470073594
3580,-86195.24899511653
3590,-86022.66911378456
3600,-86437.8468640604
3610,-86326.50394101854
3620,-86166.83378685516
3630,-86120.11684830408
3640,-85992.0572921485
3650,-86230.05393710374
3660,-85901.75412421554
3670,-85950.05160228253
3680,-85745.09302986345
3690,-86161.97317675562
3700,-86077.9591543817
3710,-86024.77545596461
3720,-85801.6618004102
3730,-85664.66373889468
3740,-85810.00992883471
3750,-85952.82506266187
3760,-85824.34005847527
3770,-86126.71897394504
3780,-86062.0729042739
3790,-86018.39616885182
3800,-85737.12470248238
3810,-85757.25934270851
3820,-85698.96332804745
3830,-85830.36757123112
3840,-85708.59791762059
3850,-85766.51184832453
3860,-85721.95068439137
3870,-86044.11194775045
3880,-86115.81453540492
3890,-85788.66000785715
3900,-85661.36461486988
3910,-85692.88311371578
3920,-85765.40885669965
3930,-85862.06394606936
3940,-85383.85339207164
3950,-85735.45507984821
3960,-85656.82426942924
3970,-85603.68755229212
3980,-85790.65917088636
3990,-85718.27540853209
4000,-85673.7130469332
4010,-85753.10489618697
4020,-85778.05765404104
4030,-85595.66228755671
4040,-86030.6721133153
4050,-85844.92682204416
4060,-85545.60963326952
4070,-85611.59604556451
4080,-85685.55271186904
4090,-85452.39332848662
4100,-85258.48337077606
4110,-85364.02883947933
4120,-85490.10583933633
4130,-85522.98362826108
4140,-85307.60054679839
4150,-85541.74322854588
4160,-85626.58396942513
4170,-85565.74378217182
4180,-85371.01310452595
4190,-85244.4435291306
4200,-85190.82741423875
4210,-85309.79055185689
4220,-85230.25162738281
4230,-85516.85236999534
4240,-85525.17275399112
4250,-85250.68255219518
4260,-85336.52583488761
4270,-85393.33947370324
4280,-85208.2697963781
4290,-85075.46914891487
4300,-85221.43478169556
4310,-85081.21429778814
4320,-85005.29161503186
4330,-85199.17732214936
4340,-85198.3430037911
4350,-84999.70901242114
4360,-84996.28393127592
4370,-84801.83601707965
4380,-84700.36402115104
4390,-84489.65776168637
4400,-84472.4845086567
4410,-84661.37841048333
4420,-84548.80146515308
4430,-84595.9477271634
4440,-84740.99745255712
4450,-84719.21388396292
4460,-84639.13828025883
4470,-84729.53959563126
4480,-84723.16043332686
4490,-84373.63943136773
4500,-84448.2635959142
4510,-84276.53164342097
4520,-84554.20236807747
4530,-84477.1314903133
4540,-84293.36131704543
4550,-84025.93765922068
4560,-84364.35493346099
4570,-84416.34261290646
4580,-84058.45445627709
4590,-84293.48737628262
4600,-84167.60354593379
4610,-83869.92002190853
4620,-84009.7877683189
4630,-84233.61529073655
4640,-84470.41720103574
4650,-84200.09357982223
4660,-83754.87207258692
4670,-84286.98671195845
4680,-84178.86141233698
4690,-83710.93304415426
4700,-83617.59927629872
4710,-83988.31291885587
4720,-83565.02333099571
4730,-83583.82175112351
4740,-83463.08756670411
4750,-83593.29713909332
4760,-83685.81958246353
4770,-83766.6080527836
4780,-83433.88774114099
4790,-83696.21132244027
4800,-83588.49400703306
4810,-83825.00167423334
4820,-83544.65590526257
4830,-83576.02137357426
4840,-83745.00316971015
4850,-83360.67004488218
4860,-83662.94566647566
4870,-83649.85115559616
4880,-83748.19759450384
4890,-83582.4794565367
4900,-83547.33161049675
4910,-83481.3535713563
4920,-83723.09807224954
4930,-83534.02803857616
4940,-83622.31565542688
4950,-83505.36307153966
4960,-83306.89195308185
4970,-83416.50825234671
4980,-83551.76480126155
4990,-84021.73922228263
5000,-83964.52465330575
5010,-83604.05815612656
5020,-83473.92083270242
5030,-83511.75164548353
5040,-83193.86738571324
5050,-83268.14782785822
5060,-83542.83771704455
5070,-83707.49431481273
5080,-83507.0043767255
5090,-83686.54157729667
5100,-82978.70949448779
5110,-82889.27386370953
5120,-83114.45115527735
5130,-82978.28602494035
5140,-82847.80918329876
5150,-82863.27683861357
5160,-82797.47460372714
5170,-82904.07868894987
5180,-83217.82311537003
5190,-82854.78699085886
5200,-82617.03791718428
5210,-82692.70678051503
5220,-82620.9074242846
5230,-82512.137552544
5240,-82428.06223257225
5250,-82391.21865140116
5260,-82255.5051103931
5270,-82442.87895619539
5280,-82340.59583295776
5290,-82331.58543613862
5300,-82283.84924387782
5310,-82074.98522392444
5320,-82206.44647584831
5330,-82344.18614716762
5340,-82336.53208985274
5350,-82342.62436507536
5360,-82392.1710382852
5370,-82480.65051809714
5380,-82528.97438341458
5390,-82299.33697659659
5400,-82168.54424783876
5410,-82385.23007978186
5420,-82308.00525068003
5430,-82795.42587011962
5440,-82760.63008995596
5450,-82378.15870538808
5460,-82491.52038763746
5470,-82278.59170214356
5480,-82163.10245008563
5490,-82285.09726098458
5500,-82249.74164408457
5510,-81885.48118831005
5520,-82356.02503571488
5530,-82367.47784338388
5540,-82141.01052378619
5550,-82127.9483856207
5560,-82316.63192728598
5570,-81835.40242904403
5580,-81940.53989457598
5590,-82179.88692080884
5600,-82307.86201194033
5610,-82012.63286831022
5620,-82123.5100738463
5630,-81664.2031954848
5640,-82010.10832796199
5650,-81726.2750746576
5660,-81936.73039190294
5670,-81738.20646304477
5680,-81695.44107853521
5690,-81657.67562211746
5700,-81469.88983244261
5710,-81221.17099491593
5720,-81911.03542737047
5730,-81954.76291367735
5740,-81730.16014756402
5750,-81752.4510985594
5760,-81847.1896989079
5770,-81519.94465323814
5780,-81415.03184417014
5790,-81692.46291495461
5800,-81490.09697116954
5810,-81666.65225569287
5820,-81454.7599324667
5830,-81485.95336841373
5840,-81597.13537827246
5850,-81540.7865118098
5860,-81316.27916447363
5870,-81673.6559055719
5880,-81475.14905390357
5890,-81369.06042356849
5900,-81417.03613350127
5910,-81216.51801529925
5920,-81036.58372290095
5930,-81354.96873505732
5940,-81262.76189774563
5950,-81188.82271259816
