iteration,log_likelihood
0,-96297.29462360917
10,-100212.13293460323
20,-100984.7205120085
30,-101166.8324135811
40,-101120.43869487353
50,-101284.69493129713
60,-101241.66945292882
70,-101147.44904532161
80,-101200.50670566362
90,-101074.11852025983
100,-100875.36442958533
110,-100760.65067199263
120,-100757.60349380698
130,-100713.7539562927
140,-100434.66224619208
150,-100283.26385185795
160,-100335.41739613975
170,-100139.20112281915
180,-100103.75950270568
190,-100036.51832697274
200,-99804.23585202073
210,-99814.29208616666
220,-99690.11123324478
230,-99637.52237479106
240,-99525.27182307048
250,-99309.72504919916
260,-99274.96122197024
270,-99127.0714589144
280,-98911.14122768096
290,-98753.35695376623
300,-99058.65845862376
310,-98872.39952898698
320,-98564.92032511914
330,-98566.08031920556
340,-98529.21716671402
350,-98275.38371414744
360,-98240.413751449
370,-98232.12079963839
380,-98179.78042482062
390,-97926.79012544286
400,-97897.39892734715
410,-97688.85348540772
420,-97618.12087817787
430,-97597.67539581435
440,-97401.4326437395
450,-97153.09605150606
460,-97231.69320747574
470,-97205.33337789052
480,-97328.11794300581
490,-97044.97136400537
500,-96994.64203436169
510,-96969.72912229178
520,-96838.44059666191
530,-96738.48235412192
540,-96516.76747302819
550,-96476.46873246826
560,-96500.42840961287
570,-96349.15896539413
580,-96336.52713141465
590,-96349.81006126277
600,-96310.25640579737
610,-96230.35251970933
620,-96270.50964568245
630,-96244.98362814923
640,-96256.84899138867
650,-96152.92944280464
660,-95971.42556031382
670,-96101.83995438149
680,-95718.76634471834
690,-95941.53951290878
700,-95814.29049987359
710,-95689.63870777233
720,-95840.32053319873
730,-95653.92431267683
740,-95593.80040488382
750,-95531.58158403877
760,-95319.79327025128
770,-95408.2719051755
780,-95259.42268794481
790,-95236.33188263977
800,-95029.00512392266
810,-95300.67789949685
820,-95250.14664000238
830,-95117.69861305645
840,-95213.94429045246
850,-95056.49673634564
860,-95137.57821979816
870,-95060.31151050939
880,-94877.37934337044
890,-94929.51032884527
900,-94878.90258941677
910,-94819.50585886449
920,-94921.72762924884
930,-94763.70383393453
940,-94777.91984179312
950,-94702.9843491475
960,-94684.45675863753
970,-94691.48748966362
980,-94607.45212229832
990,-94458.71071371381
1000,-94536.81104170976
1010,-94532.49744192787
1020,-94383.51664637015
1030,-94313.20248179125
1040,-94517.85953546863
1050,-94051.45114101117
1060,-94197.76917365749
1070,-94104.05239556506
1080,-94190.6384041999
1090,-94038.42333315927
1100,-94053.07971501522
1110,-93967.9564660431
1120,-94020.04134780983
1130,-93918.40906264514
1140,-93970.15905184313
1150,-94035.04849145585
1160,-93749.09917233222
1170,-94002.7206843457
1180,-93856.65627567419
1190,-93808.19377360647
1200,-93700.50276160675
1210,-93601.21512684564
1220,-93709.7751685575
1230,-93536.29488940904
1240,-93552.32610681723
1250,-93518.74663411122
1260,-93542.84101250675
1270,-93389.46857472483
1280,-93367.34308322959
1290,-93353.98631085682
1300,-93250.50248122754
1310,-93160.3248643922
1320,-93117.72376553084
1330,-93330.35678648094
1340,-93254.59494181974
1350,-93373.71355341567
1360,-93367.02026828285
1370,-93215.02452455382
1380,-93154.54474385595
1390,-93065.62997801955
1400,-93131.07830400261
1410,-92972.86658620945
1420,-93093.10121035011
1430,-92942.67816222121
1440,-92880.71497596905
1450,-93090.20002856926
1460,-92839.73959691515
1470,-92691.68155796554
1480,-92887.89185980064
1490,-92736.82892555706
1500,-92812.45978406657
1510,-92852.73469427216
1520,-92914.23003613586
1530,-92676.27268055413
1540,-92864.07611629744
1550,-92738.77876496542
1560,-92494.79769744279
1570,-92510.55739185815
1580,-92341.59696531715
1590,-92443.75566976922
