,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,learned_cats
5404,JoseAntonio,i,420,1020,2715,170.0,-44.0,-88.0,-133.0,-112.0,-199.0,49.0,sp,ids,1
5411,JoseAntonio,a,877,1569,1579,120.0,99.0,270.0,977.0,49.0,175.0,-1268.0,sp,ids,2
5427,JoseAntonio,a,790,1626,2906,405.22,700.0,906.0,555.0,41.0,-22.0,106.0,sp,ids,2
5432,JoseAntonio,a,872,1718,3278,74.486,3.0,-135.0,-469.0,35.0,-7.0,116.0,sp,ids,2
5434,JoseAntonio,a,809,1643,2720,61.717,-31.0,-46.0,-54.0,12.0,18.0,-117.0,sp,ids,2
5435,JoseAntonio,a,836,1619,2736,53.204,-48.0,-27.0,58.0,-1.0,-14.0,-33.0,sp,ids,2
5436,JoseAntonio,a,642,1652,2783,75.835,13.0,-6.0,91.0,11.0,9.0,-5.0,sp,ids,2
5438,JoseAntonio,i,348,2542,3581,50.0,36.0,-102.0,-821.0,10.0,1260.0,904.0,sp,ids,3
5439,JoseAntonio,a,892,1781,3089,30.0,-67.0,-204.0,-550.0,-70.0,110.0,218.0,sp,ids,2
5440,JoseAntonio,i,335,1110,2530,90.0,96.0,1167.0,361.0,-34.0,198.0,-84.0,sp,ids,0
5441,JoseAntonio,a,1177,1822,2697,140.0,-648.0,-618.0,-472.0,241.0,174.0,149.0,sp,ids,2
5443,JoseAntonio,a,716,1410,2122,150.0,23.0,-98.0,493.0,94.0,72.0,-525.0,sp,ids,2
5444,JoseAntonio,i,629,1732,2215,30.0,36.0,-65.0,702.0,55.0,-207.0,26.0,sp,ids,2
5449,JoseAntonio,a,816,1805,2844,100.0,-37.0,-72.0,-15.0,232.0,23.0,32.0,sp,ids,2
5450,JoseAntonio,a,829,1790,2781,110.0,-9.0,25.0,65.0,-3.0,64.0,153.0,sp,ids,2
5452,JoseAntonio,a,718,1666,2624,290.0,-23.0,13.0,-2.0,-564.0,-441.0,-448.0,sp,ids,2
5456,JoseAntonio,a,793,1646,2563,180.0,32.0,-201.0,-185.0,43.0,31.0,-15.0,sp,ids,2
5457,JoseAntonio,a,824,1921,2448,80.0,12.0,-471.0,-203.0,-41.0,-280.0,-588.0,sp,ids,2
5466,JoseAntonio,i,616,1849,2756,30.0,165.0,128.0,-73.0,-39.0,111.0,-70.0,sp,ids,2
5467,JoseAntonio,a,587,1196,2115,210.0,-64.0,213.0,184.0,-30.0,-380.0,-453.0,sp,ids,0
5470,JoseAntonio,i,440,1129,2384,40.0,-1.0,1067.0,856.0,5.0,-228.0,96.0,sp,ids,0
5471,JoseAntonio,a,732,1572,2695,30.0,72.0,152.0,-638.0,-54.0,-76.0,53.0,sp,ids,2
5472,JoseAntonio,a,1030,2080,2529,120.0,-100.0,-930.0,-285.0,262.0,736.0,323.0,sp,ids,1
5474,JoseAntonio,i,206,1100,2818,60.0,82.0,-393.0,-150.0,-464.0,-1330.0,-426.0,sp,ids,1
5475,JoseAntonio,a,1046,1565,2325,40.0,-73.0,722.0,816.0,115.0,-380.0,-33.0,sp,ids,2
