iteration,log_likelihood
0,-90583.5947923101
10,-90898.03462855757
20,-90791.10114688169
30,-90432.6193889004
40,-90195.55679241035
50,-89466.93480026617
60,-89030.69278571334
70,-88455.55460685046
80,-88065.53062040453
90,-87434.00064522256
100,-87165.09121664928
110,-86484.13808947615
120,-86300.42266789211
130,-85929.58172376473
140,-85410.02372695082
150,-85145.44009822761
160,-84880.58733776076
170,-84693.00892772361
180,-84359.13619760872
190,-84097.72526784203
200,-83867.1322699924
210,-83228.37016330745
220,-83279.80112267712
230,-83167.81692300236
240,-83283.37514429535
250,-82619.21442298022
260,-82692.96980100515
270,-82348.50543387867
280,-82484.20335106751
290,-82232.60869215026
300,-81958.59722372887
310,-81581.57163157033
320,-81565.56758345346
330,-81514.29418486447
340,-81496.61084248433
350,-81520.91366597255
360,-81222.36617797431
370,-80914.00668191165
380,-80947.6278949995
390,-80763.53207597234
400,-80755.35148338463
410,-80863.66122781401
420,-80738.86462759643
430,-80743.6657783722
440,-80591.37511279159
450,-80585.44083140131
460,-80351.63264937706
470,-80516.00738786519
480,-80273.93167073402
490,-80315.19029811042
500,-80243.80215222426
510,-80063.06499884654
520,-80026.71506330419
530,-79880.74833119017
540,-80035.00595367394
550,-79403.90669125029
560,-79731.84344432064
570,-79536.31001682466
580,-79389.97804650776
590,-79333.45815714773
600,-79269.916900122
610,-79320.14565131636
620,-79411.52266998103
630,-79287.31120624088
640,-79196.02491885217
650,-78997.27556077686
660,-78886.33374772099
670,-78961.39311682033
680,-78885.49009355315
690,-78814.27382651875
700,-78776.791552651
710,-78466.59887330265
720,-78375.99266702947
730,-78251.16058345347
740,-78324.5953347848
750,-78094.64372311221
760,-77946.9626750019
770,-77812.12200717564
780,-77885.88837612915
790,-77792.99318047155
800,-77852.15969661207
810,-77917.45726091658
820,-77762.50620060571
830,-77725.67718713885
840,-77764.63740165913
850,-77537.27992478211
860,-77746.86221470336
870,-77307.7585589594
880,-77437.11132191418
890,-77279.58529414269
900,-77300.74699474988
910,-77086.36410633115
920,-77200.69415021023
930,-77052.99015736624
940,-76748.38766998213
950,-76710.50036373724
960,-76538.46842911518
970,-76484.08352561636
980,-76426.27093810361
990,-76486.69300349857
1000,-76495.9046965437
1010,-76473.45869384141
1020,-76534.17996506108
1030,-76475.33939899397
1040,-76445.52142119205
1050,-76421.06329414103
1060,-76446.06302086184
1070,-76228.63306343512
1080,-76306.41478920258
1090,-76029.13669982376
1100,-76370.93266653198
1110,-76074.87814372545
1120,-76019.69565178794
1130,-76068.40529608724
1140,-75919.12631403882
1150,-76024.64846368873
1160,-75716.04483460715
1170,-75796.63246231689
1180,-75783.27312769854
