speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on,language,register
s01,ah,6.084919293,11.51529081,16.46718954,60,0.203832336,-0.481588775,16.83408769,-0.283329269,-0.201853045,0.162195214,en,ads
s01,ih,5.991351351,14.13588167,16.36348745,66.836,0.078638173,-0.075308037,16.70049797,-0.047109865,0.028001195,0.081663214,en,ads
s01,ah,6.03044316,9.976059572,16.16691301,64.14,0.292898203,-0.180098759,16.55870741,0.729645993,-0.538239059,0.546802628,en,ads
s01,ah,5.801590023,12.74726758,16.36348745,65.77,0.978347884,-0.11403988,16.71871001,0.244447712,-0.180106825,-0.094460969,en,ads
s01,eh,5.419499802,14.23332416,16.11605416,77.975,-0.253598238,0.384741244,16.45795437,0.049569505,-0.18222805,0.033311563,en,ads
s01,eh,4.503124741,13.25705081,15.054279,111.199,0.136218986,0.110667401,15.40565336,0.673421444,0.187678066,0.71199551,en,ads
s01,iy,4.476016598,14.46358444,15.94208932,72.747,0.700342079,0.839557464,16.28701852,-0.200874219,-0.478296652,-0.165307386,en,ads
s01,eh,5.444314036,14.58976641,15.88277008,116.549,-0.236861973,1.173315979,16.23049987,-0.851313624,0.490830353,0.211612549,en,ads
s01,ah,4.744098361,11.32195844,14.64927844,227.822,0.340701192,0.456332157,15.03147159,0.338806036,0.226446382,-0.088190128,en,ads
s01,ah,5.542983425,12.07794595,16.35037037,48.175,0.606444027,0.325897287,16.72057724,-0.923164794,0.178141591,-0.110034107,en,ads
s01,ah,5.493765823,10.4189677,16.78973451,49.583,0.635535085,1.802026527,17.20238299,-0.838292572,-0.412612794,-1.943067847,en,ads
s01,eh,6.71648548,13.04382872,16.24225406,52.209,1.189882005,0.013349643,16.59519286,0.223212716,-0.352553825,-0.028844098,en,ads
s01,ah,6.345402124,10.55660084,15.63637027,73.319,1.025753142,0.868833234,16.03450721,0.895612368,-0.560331857,-0.340400366,en,ads
s01,eh,6.383142749,13.13981495,16.48,122.14,0.881157775,-0.264027242,16.82789991,-0.236322826,-0.427488592,-0.161630332,en,ads
s01,ah,7.770806622,11.76007737,16.42486122,209.436,0.996226073,0.248936279,16.79832459,-0.85962343,0.306344053,-0.226902658,en,ads
s01,ih,4.82324214,11.08844175,13.6453282,62.38,1.281277622,-2.455833581,13.99133333,0.336339854,2.520326038,1.085748719,en,ads
s01,ah,3.909799915,13.40699657,13.61792771,49.497,-1.258267582,3.012002616,14.00648917,-0.727646069,-2.13202227,0.506717212,en,ads
s01,ah,6.208342246,13.15950062,15.47662829,58.99,0.115664566,0.003276848,15.82786983,-0.107912138,0.003275212,0.522096031,en,ads
s01,ih,5.873165049,14.94042296,16.34849367,42.716,0.071575025,0.204271818,16.67842835,-0.495153911,0.267600638,0.035536463,en,ads
s01,ah,5.510197628,13.00034369,16.06468118,55.6,1.179905231,0.013437547,16.41820816,-0.27449078,0.106530209,-0.12869693,en,ads
s01,ah,5.185018065,12.89889483,15.97250687,82.721,0.781620896,-0.263881006,16.32365998,-0.239813031,0.207979073,0.123849724,en,ads
s01,ah,6.330265756,13.39436979,16.33533687,94.248,0.910765954,0.073087422,16.68435084,-1.035729014,-0.363890717,-0.434084644,en,ads
s01,eh,6.946813834,13.45412741,16.02080437,107.555,0.223047552,0.661704412,16.37695696,-1.177196347,1.130435243,-0.07058617,en,ads
s01,ah,8.271912269,13.03047907,16.2671189,115.268,1.504574727,-0.516882207,16.6130824,-1.21195616,-0.644609162,-0.547327906,en,ads
s01,ah,8.021626129,12.44440232,15.46996091,206.492,-0.132261418,0.891868685,15.84286471,-2.220036106,1.914635796,0.30262057,en,ads
s01,uh,4.098657661,11.89128149,16.26902648,60,0.131863606,-0.140453868,16.63545364,-0.705243027,-0.055371649,0.009527002,en,ads
s01,iy,5.689247649,14.70818762,16.03879945,56.278,-0.465283182,0.149713388,16.37112858,-1.609332144,-0.19169781,-0.062250435,en,ads
s01,iy,3.639931064,14.69287762,15.58655271,80.368,0.39702006,0.074573136,15.91807549,0.058375769,-0.768297322,-1.101749115,en,ads
s01,uh,4.628743304,12.91251081,15.68786132,58.99,0.270979433,0.420912806,16.04807619,-0.062627602,-0.075232735,-0.209012397,en,ads
s01,iy,4.761736282,14.61571587,16.00676442,79.308,-0.690836053,0.109769199,16.33980151,0.008808131,-0.128265243,-0.134290661,en,ads
s01,eh,6.480602864,13.95934349,15.8248468,88.847,0.465778336,0.59347473,16.17325911,0.264973345,-0.093139855,0.055865651,en,ads
s01,iy,3.746723842,14.4422888,15.45883031,70.983,0.087300682,-0.147477603,15.7907377,0,-1.465478677,-0.599738811,en,ads
s01,iy,4.247463312,14.43161218,16.01479195,80.009,0.233395516,0.50993767,16.35570639,0.3455371,-0.176234602,-0.034203947,en,ads
s01,ah,7.546452763,11.56490619,15.76627451,233.925,0.714121157,0.272812635,16.14269959,-0.656711066,1.633789355,-0.069879746,en,ads
