speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on,language,register
ale,ah,4.210449391,12.54565604,15.63852572,30,0.186950873,0.123145489,15.99967371,0.018522493,-0.170816133,-0.177467452,en,cds
ale,ah,4.366905755,13.28924598,16.28426099,40,-0.045595286,0.106853161,16.63514934,1.940612299,0.398470289,0.181095757,en,cds
ale,ah,8.897399934,12.10858684,15.92987197,30,-0.431761356,-2.39999739,16.26287352,-1.350947171,0.313923709,0.038589567,en,cds
ale,aa,8.839707932,11.5194382,15.97856891,214.656,0.288317919,-0.550826806,16.34447546,-0.818081803,-1.660563202,-0.451096021,en,cds
ale,ah,5.159581994,13.03381901,16.11212074,39,0.710741113,0.084006729,16.46614847,0.792526324,-0.759042887,0.211911087,en,cds
ale,ae,8.557369309,11.9540458,15.13759118,330,-0.136419179,0.36445676,15.50999404,-1.213441381,2.48557565,1.463351904,en,cds
ale,ih,4.744098361,14.0681478,15.02301628,110,-0.321690901,0.114584585,15.36350066,4.216323525,-0.75966101,0.46248906,en,cds
ale,ah,5.168067497,12.79934325,15.80191426,70,0.03398299,0.171616571,16.16029072,-0.03398299,0.051676425,-0.063057688,en,cds
ale,aa,7.343927928,11.57725797,14.81423522,183.882,-0.081533141,-0.596003771,15.17875019,-0.333308199,-0.217076259,-2.087910739,en,cds
ale,iy,3.639931064,8.931832288,15.05188034,260,-0.345796556,-3.361582671,15.41477212,3.321098348,6.566961311,1.904556848,en,cds
ale,ae,5.134084507,12.9599493,15.49658116,120,0.302084507,0.057647877,15.85125028,0.059398639,0.143621409,0.150557649,en,cds
ale,aa,5.777619977,12.60285268,16.02080437,61.58,0.112606246,-0.151381553,16.37747258,-0.358120175,0.17570847,-0.140091925,en,cds
ale,ah,5.040064673,13.93908877,16.01077975,51,-1.29777214,-0.406412021,16.34597956,2.769777155,-2.316717784,-0.64862725,en,cds
ale,ae,5.040064673,14.09646186,16.46352326,80,0.322477475,0.692619664,16.81142317,0.697480284,0.707757402,-0.027584704,en,cds
ale,uw,3.708006873,13.09365119,15.73885657,60,-0.067667645,-0.185952964,16.08843298,-0.175885661,-0.544406353,-0.486684482,en,cds
ale,ae,7.599729826,12.61707748,15.03506099,210,-0.659831217,-0.070682476,15.39262678,-0.760203374,1.462411721,0.878476198,en,cds
ale,ah,4.108016878,11.82001101,15.57129815,50,-0.065294018,-0.09879741,15.93925128,0.203922922,0.265607577,-0.286820221,en,cds
ale,ah,4.394285714,12.67015799,15.91966877,87.071,0.32375317,-0.049171042,16.27680829,-0.220974818,-0.44407615,-0.101066341,en,cds
ale,ah,5.640722702,13.41330069,16.77256378,51,0.421885027,-0.441161362,17.11438469,0.334949632,-0.230907864,-0.55722572,en,cds
ale,ao,7.391574407,10.29836983,15.62773971,113.904,-0.274327116,-0.361059421,16.01272262,0.121425593,4.622442968,1.231751145,en,cds
ale,ae,7.157874818,12.78896021,15.8269266,65.239,0.182650718,-0.164232795,16.18090868,-0.020898497,0.271517782,0.302870583,en,cds
ale,ah,4.394285714,12.92949187,15.5669317,40,-0.153869786,-1.434952575,15.90187615,0.446465,-0.273448313,-0.236629556,en,cds
ale,ah,7.513,11.16708657,14.46889638,130,0.530686375,-0.218468987,14.8440577,-0.135014388,0.853049116,1.374638872,en,cds
ale,eh,7.192604432,9.833176839,15.90330174,47.527,0.181984703,-0.377220715,16.29436188,0.253130335,0.071753046,0.31203632,en,cds
ale,aa,7.157874818,11.40242356,16.11998453,80,0.595548364,-0.317421276,16.49062668,0,-0.437958386,-0.045383639,en,cds
ale,iy,3.620405347,14.62347826,16.50733866,99.6,-2.213057688,1.493528311,16.85893483,1.167733712,-1.69737915,-2.11324683,en,cds
ale,ih,5.25254902,9.986170543,15.00852853,50,-0.224758977,0.071041299,15.40358636,-0.455623427,0.140248148,0.004833393,en,cds
ale,ah,3.84293766,12.49159801,15.83316103,29,0.028777763,-0.775128096,16.18291124,-0.26168496,0.592118719,0.149445276,en,cds
ale,ae,8.908892562,12.64189982,14.60534992,150,-0.136735513,-0.195378258,14.9608969,-1.105545164,0.905461461,0.880155419,en,cds
ale,ih,4.875682281,13.43217604,15.44767677,38.462,-0.026124066,0.031489765,15.79561927,-0.363536465,-0.482363761,-0.193190826,en,cds
ale,ah,5.082904397,11.31769932,15.5995935,30,0.872455006,0.38006428,15.98081253,0.228380519,0.84419214,-0.100799897,en,cds
ale,ao,8.616941176,10.49045673,16.4909538,170,-0.297692003,-0.571587868,16.87049004,-2.248877516,-1.837964279,-0.339635373,en,cds
ale,ih,5.344701195,13.71781975,15.69639476,61,0.923103857,-0.26746804,16.03645132,-0.347649757,0.032948017,-0.120733733,en,cds
ale,ah,4.136047198,10.53775914,15.31659503,41,0.14086484,0.725198811,15.71304185,0.730912868,0.835120295,0.092987092,en,cds
ale,aa,9.290798577,11.64278552,15.01577706,187.669,-0.670070988,0.389265355,15.39272375,-1.926421328,-1.378512428,0.402792594,en,cds
ale,iy,5.656923077,15.51866476,15.95224843,92.023,-0.60494359,0.079927392,16.272719,-1.511548182,-0.514973768,0.189298939,en,cds
ale,eh,6.925451197,13.47288326,15.94615536,66.737,-0.246330621,0.680460258,16.30230795,-0.655961479,1.371295199,-0.851255401,en,cds
ale,ah,4.691010682,12.46985545,15.52086814,71,-0.008866115,0.210026211,15.88421362,0.494007383,-0.087660267,0.413079487,en,cds
ale,uw,4.385166667,13.39752881,14.80421926,35.699,0.314634122,0.137251304,15.15405649,3.572797071,1.530645746,0.366351563,en,cds
ale,ae,6.93257732,12.11622642,15.78097902,99.004,0.267209645,2.512710071,16.18025714,0.148445698,0.613593079,-0.297691575,en,cds
ale,ah,5.64882607,11.66314325,16.04278979,40,-0.474825637,2.510783411,16.44818046,-0.446884634,0.267430203,-0.032010038,en,cds
ale,iy,4.557139314,12.53128205,15.2243299,30,-0.593950352,0.094169301,15.58528066,0.035861099,0.509211776,-0.240030671,en,cds
ale,ih,5.344701195,11.40242356,15.54285247,30,-0.878962927,0.076208417,15.91881616,-0.399496161,0.042003321,-0.035218196,en,cds
ale,ah,5.108525383,10.62219309,16.26902648,120,-0.450812157,0.126993327,16.65623176,-0.128728058,-0.575619099,-0.232223362,en,cds
ale,ae,7.275443038,11.75606412,14.74628622,264.523,0.508105496,0.472525311,15.12282698,-0.159410945,1.02596516,0.918037016,en,cds
ale,iy,5.227275641,15.2452247,15.8992019,120,-0.630027118,0.418494094,16.22791606,0.16735075,-0.277948054,0.191230525,en,cds
ale,eh,5.873165049,12.84758691,15.61909515,31.84,-0.188443262,0.27327288,15.97819292,-0.095545072,0.681236189,0.407714605,en,cds
ale,ih,5.681176009,11.43185081,15.12102782,60,0.598271612,-0.584414124,15.48766402,1.343565654,-0.602482972,0.151934058,en,cds
ale,eh,6.375606061,11.8715547,15.21035601,70,-0.578318176,-0.591037987,15.57096263,-0.581999823,0.812688506,0.292859736,en,cds
ale,ih,4.919186992,15.34625052,16.3951994,122.141,-1.694795044,0.933368858,16.72949091,-0.139841656,-1.996270205,-0.469406295,en,cds
ale,ih,4.201176471,12.91930842,14.78916248,30,0.262843137,-0.077678439,15.14255338,0.156587401,-0.295129622,-0.091177022,en,cds
ale,eh,6.100430108,11.97744148,15.21268745,40,-0.335310074,0.478763562,15.58631932,0.372709734,-2.572072181,-0.410974909,en,cds
ale,ih,5.344701195,13.80134885,14.64155039,76.791,-2.16159391,-0.303581643,14.97999361,-0.236175812,-0.143880676,1.149906698,en,cds
ale,ah,7.00355099,11.17577465,15.87247376,40,-0.230562819,-0.180169686,16.24803545,-0.28706551,-0.287573125,0.032876687,en,cds
ale,ae,8.658403756,11.5318664,14.84417845,120.398,1.192438844,0.961163864,15.23036198,-0.083120737,-0.919010114,0.042152855,en,cds
ale,ah,5.048646465,13.42589041,15.5384628,96.231,0.060218588,0.022048215,15.88636271,0.262638452,-0.554310926,-0.05517535,en,cds
ale,uw,3.708006873,11.42765404,15.81026499,50,-0.493169598,-0.06686481,16.18395309,0,1.009458708,-0.020901847,en,cds
ale,aa,5.75359375,10.61752608,15.21734737,60,-0.095768614,-0.444518518,15.5968836,-0.080495711,0.448924412,0.030194097,en,cds
ale,uh,5.640722702,9.848605378,14.90852196,156.558,-0.482929005,-0.656071896,15.29559899,0.008103368,1.213439221,0.078204878,en,cds
ale,ah,4.503124741,12.75423423,16.28426099,49,-0.476672584,0.550741065,16.64836753,0.528351199,0.586194232,0.086706392,en,cds
ale,ah,4.494096186,12.45168421,14.4075192,31,-1.339366849,-0.720907458,14.75853984,-0.292919715,-0.316394843,-0.053892332,en,cds
ale,eh,4.247463312,13.44159296,16.53090909,29,-0.027679066,-0.362718527,16.87340641,0.082829085,0.164118566,0.012644735,en,cds
ale,ah,6.953924237,11.80407713,14.04540163,30,1.718217389,-0.694753182,14.40551882,1.804368527,1.219717012,0.231948759,en,cds
ale,ah,7.705379993,11.81204846,15.31430718,30,-0.398348821,-0.364999314,15.678771,0.454757938,0.942185776,-1.170011567,en,cds
ale,ih,5.091451613,11.45698166,15.25217209,38.198,0.042805148,-3.668783566,15.57685769,0.236554767,-0.961781905,0.177611104,en,cds
ale,uw,4.330292398,11.56490619,15.53626661,110,1.067199975,-1.788254943,15.8848504,1.105756789,-5.612797872,-0.647465398,en,cds
ale,ah,8.418817131,11.94231924,15.98664055,97.634,1.150249837,-1.111504071,16.33926424,-1.651479589,-0.710314654,-0.097702443,en,cds
ale,uw,3.995182358,10.80206186,15.53406953,80,0.200248682,-1.27204466,15.89992418,0,0.20691228,-0.187819009,en,cds
ale,ah,5.999181783,11.65093541,12.97344138,67.02,-0.3159246,2.713377656,13.3817433,-0.253609294,-0.903776086,1.114540061,en,cds
