speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on,language,register
HS10,e,2.50280543,14.1526979,15.43650021,60,0.584233339,0.233930551,0.370243271,-0.032320609,-0.384031233,-0.32733354,sp,ads
HS10,e,4.448840881,13.80431149,15.8269266,50.252,-0.339298179,0.065504808,0.010407281000000001,-0.340824003,0.376310199,0.428731549,sp,ads
HS10,e,4.293556485,13.1791274,15.90330174,182.645,2.307407618,0.833786641,0.563880543,-0.083107094,0.28125806,-0.215440419,sp,ads
HS10,e,2.915126723,13.6270744,15.55162107,54.117,0.739530393,-0.62830317,0.232739134,0.577535896,-0.543357679,-0.097249418,sp,ads
HS10,e,2.705482279,15.09965957,16.307026,24.159,0.010581022,-0.052089684,0.111002205,-0.106239377,0.08732797,-0.183114134,sp,ads
HS10,e,4.023498518,13.42274529,15.66646738,94.705,0.354341891,0.710418928,0.103905683,0.131196219,0.724352378,-0.036568718,sp,ads
HS10,i,3.698306833,13.05382331,15.4409736,60.766,0.445300698,0.296108433,-0.316879827,-0.058375769,-0.083752385,-0.090174928,sp,ads
HS10,u,2.481268116,11.51114109,15.67503532,50,0.5401287,-0.87472882,-0.895504224,-0.361084208,-0.595936412,-0.49742281,sp,ads
HS10,e,5.583820402,12.43346509,15.47218429,140,0.743069688,0,0.002223373,-0.509470119,-0.260203341,-0.069352574,sp,ads
HS10,a,6.36806366,11.91095433,16.03480601,150,1.140788019,0.223456417,0.764150233,0.20165877,-0.138850524,-0.654536351,sp,ads
HS10,e,2.904733096,12.44075849,15.4987936,50,-1.580327045,0.147343535,-0.248514479,2.40655182,-0.192160363,-0.066770477,sp,ads
HS10,e,2.620567312,8.021626129,15.38026965,30,-0.242498642,-5.767858064,-0.620465871,0.148202263,4.193170445,0.833140308,sp,ads
HS10,o,4.52115942,8.153887547,13.93038778,70,0.036099279,-0.062310459,-0.19706828,0.089727178,0.563411918,0.815898437,sp,ads
HS10,o,4.901806347,10.50467727,15.71342047,60,1.184107764,-1.121781175,0.456621645,-0.498409178,-1.257934973,-0.06628166,sp,ads
HS10,e,4.84949429,11.91095433,15.34625052,40,-0.276077368,-0.140071932,-0.065579883,-0.409727042,-0.118850667,0.163591661,sp,ads
HS10,a,4.321119933,12.29713677,16.09438263,152.739,1.700552621,0.65435126,0.5209026,1.717123518,-0.265401417,-0.657882426,sp,ads
HS10,o,3.541964518,11.55253363,14.53489495,38.471,0.380134337,0.442164117,-0.316744895,0.058881404,0.803883962,-0.627769919,sp,ads
HS10,e,4.061141649,11.92273224,13.42589041,30,-0.018773856,0.0749212,-0.225510695,-0.170404538,-0.686419615,0.481234618,sp,ads
HS10,o,5.361369427,11.33897071,15.07820934,144.434,1.049429627,1.123660411,-0.517040765,-0.930683356,0.700487281,-1.262061329,sp,ads
HS10,o,4.7793453360000004,8.503410014,14.6800883,58.504,0.568895945,0.108910354,0.405480121,-0.141684709,-0.139400467,-0.535792688,sp,ads
HS10,a,5.159581994,11.55253363,15.66646738,70,0.765296279,0.188116942,-0.053323616,-0.275184599,0.259514826,0.101910295,sp,ads
HS10,e,4.348614357,12.43346509,15.40733292,53.297,0.496100486,0.498974231,-0.146478062,0.306858894,0.219045288,-0.067911724,sp,ads
HS10,e,5.35303863,13.91585882,15.59090317,19.058,0.058501889,0.353090188,0.052440377,-0.033389647,0.239637254,0.064834797,sp,ads
HS10,e,4.448840881,13.02713745,13.60571153,40,-0.321703532,0.930025442,-2.028502409,-0.146088894,0.618190751,0.701720688,sp,ads
HS10,e,5.889002716,14.18897377,15.70065633,70,1.206865437,-0.08563441,0.188607151,0.007909619,-0.334511721,-0.363513475,sp,ads
HS10,a,7.109040496,11.88734045,15.79773389,190,0.473003113,-0.432085688,0.014657583,-0.098420768,0.205942483,-0.222072861,sp,ads
HS10,a,7.199535221,11.61418923,15.16822161,110,0.097491426,-0.540111848,-0.234610101,-0.854133097,-1.532586268,-0.208256079,sp,ads
HS10,a,6.621339319,12.15050282,15.03746684,200,0.536420026,0.095624643,0.306389915,-0.891828173,-0.184749623,0.237800178,sp,ads
HS10,a,5.632612967,12.17326174,15.25911074,73.644,0.34646035,0.034165943,-0.226394603,0.16897705700000001,-0.01896067,-0.13097831,sp,ads
HS10,u,4.744098361,12.953193,15.21035601,52.268,-0.716725728,0.534337817,-0.092497547,-0.51512647600000006,0.46955229,-0.0515412,sp,ads
HS10,a,5.817538941,12.12385776,15.29137599,74.46,1.459775069,0.448527019,-0.25805427,0.520297871,-0.319780624,-0.146701274,sp,ads
HS10,e,5.201941436,13.47912302,15.48772232,227.135,0.789440396,1.283175554,0.062421767,0.184380632,0.105153375,-0.017761412,sp,ads
