speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register
s01,ah,767,1769,3317,202.735,-70,157,-68,79,141,-350,en,ads
s01,ah,642,1599,3395,60,-36,-48,90,26,-120,164,en,ads
s01,ih,630,2367,3339,66.836,-6,10,44,11,-27,-76,en,ads
s01,ah,635,1263,3236,64.14,96,-103,298,37,-36,-226,en,ads
s01,ah,606,1923,3339,65.77,31,-51,-50,117,-33,21,en,ads
s01,eh,559,2402,3210,77.975,6,-65,17,-31,135,-36,en,ads
s01,eh,453,2075,2721,111.199,76,59,317,15,34,186,en,ads
s01,iy,450,2487,3123,72.747,-22,-174,-81,75,296,191,en,ads
s01,eh,562,2535,3094,116.549,-99,197,106,-29,410,700,en,ads
s01,ah,480,1553,2558,227.822,39,54,-34,39,104,-8,en,ads
s01,ah,574,1740,3332,48.175,-108,47,-58,72,83,-77,en,ads
s01,ah,568,1353,3577,49.583,-98,-84,-941,74,338,813,en,ads
s01,eh,726,2010,3275,52.209,31,-104,-15,154,5,31,en,ads
s01,ah,710,2087,2989,62.67,-118,-317,-1023,55,-20,-156,en,ads
s01,ah,676,1382,2977,73.319,124,-115,-153,129,175,130,en,ads
s01,eh,681,2039,3402,122.14,-32,-126,-87,112,-82,53,en,ads
s01,ah,517,1567,2897,330.183,128,84,291,38,210,307,en,ads
s01,ah,879,1659,3372,209.436,-125,77,-121,144,61,96,en,ads
s01,ah,433,1546,2854,295.334,452,321,37,-170,43,-46,en,ads
s01,ih,489,1499,2199,62.38,39,689,391,138,-667,-1051,en,ads
s01,ah,389,2122,2190,49.497,-74,-580,174,-140,774,-465,en,ads
s01,ah,658,2045,2904,58.99,-14,0.6,247,15,1,24,en,ads
s01,ih,615,2674,3331,42.716,-61,112,19,10,83,39,en,ads
s01,iy,571,2742,3382,81.738,-15,-161,-31,-20,-60,169,en,ads
s01,ah,570,1997,3184,55.6,-33,33,-64,136,3,-13,en,ads
s01,ah,531,1967,3138,82.721,-28,62,62,89,-80,-18,en,ads
s01,ah,674,2118,3324,94.248,-130,-112,-221,115,22,27,en,ads
s01,eh,758,2137,3162,107.555,-157,396,-34,32,200,176,en,ads
s01,ah,958,2006,3288,115.268,-184,-184,-272,225,-161,-81,en,ads
s01,ah,918,1838,2901,206.492,-311,610,140,-21,230,-250,en,ads
s01,aa,928,1703,3079,124.082,-218,-222,-1267,103,3,96,en,ads
s01,ah,524,1317,1552,50.39,43,177,375,121,-187,-1715,en,ads
s01,uh,409,1692,3289,60,-73,-14,6,15,-36,54,en,ads
s01,iy,592,2581,3171,56.278,-185,-74,-32,-59,58,278,en,ads
s01,iy,361,2575,2954,80.368,5,-282,-458,41,29,-139,en,ads
s01,uh,467,1971,3001,58.99,-7,-22,-96,31,120,-10,en,ads
s01,iy,482,2545,3155,79.308,2,-49,-66,-82,43,-49,en,ads
s01,eh,694,2305,3066,88.847,36,-32,27,61,195,-23,en,ads
s01,iy,372,2479,2896,70.983,-0.3,-489,-255,9,-56,-170,en,ads
s01,iy,425,2475,3159,80.009,38,-65,-17,24,183,139,en,ads
s01,ah,845,1611,3038,233.925,-95,446,-32,103,65,-290,en,ads
s01,ae,819,1879,2965,107.131,42,126,80,241,-66,-94,en,ads
s01,ae,613,1427,1746,158.547,236,444,1080,-121,-335,-1378,en,ads
s01,iy,430,2767,3346,59.667,-75,-142,-117,-9,58,104,en,ads
s01,iy,378,2620,3101,73.854,14,-6,59,-31,18,-69,en,ads
s01,ih,412,2314,2403,47.863,14,139,599,42,-5,-287,en,ads
