Speaker,Gender,Vowel,Duration,f0,F1,F2
1,m,ae,323,174,663,2012
2,m,ae,250,102,628,1871
3,m,ae,344,99,605,1812
4,m,ae,312,124,627,1910
6,m,ae,254,115,647,1864
7,m,ae,254,96,582,1999
8,m,ae,289,122,602,1880
9,m,ae,339,120,545,1872
10,m,ae,282,153,552,2027
11,m,ae,319,136,629,1871
13,m,ae,279,100,685,1807
14,m,ae,272,106,559,1983
16,m,ae,212,138,544,1819
17,m,ae,257,135,685,1592
18,m,ae,264,133,514,2031
19,m,ae,244,149,612,1937
20,m,ae,286,140,544,2114
21,m,ae,252,108,556,1854
22,m,ae,249,119,619,2023
23,m,ae,274,112,601,1997
24,m,ae,270,120,572,2072
25,m,ae,301,115,546,1820
26,m,ae,259,120,562,1895
27,m,ae,257,105,594,2000
28,m,ae,212,131,662,1934
29,m,ae,241,114,566,2041
30,m,ae,302,96,559,1873
31,m,ae,208,143,579,1982
32,m,ae,208,149,623,1937
33,m,ae,328,136,555,1996
34,m,ae,267,129,555,1849
35,m,ae,326,110,634,1730
36,m,ae,270,121,570,1856
37,m,ae,207,130,614,1768
38,m,ae,213,131,553,2140
39,m,ae,311,153,605,2002
40,m,ae,273,140,597,1989
41,m,ae,230,139,561,1772
42,m,ae,334,128,615,1885
44,m,ae,276,98,577,1952
45,m,ae,283,187,629,2436
47,m,ae,292,129,511,1811
48,m,ae,245,119,590,1830
49,m,ae,266,123,622,1957
50,m,ae,289,116,565,2055
51,w,ae,305,225,678,2293
52,w,ae,486,214,624,2442
53,w,ae,293,192,666,2370
54,w,ae,353,233,743,2230
55,w,ae,338,223,677,2320
56,w,ae,362,223,627,2266
57,w,ae,313,176,690,2327
58,w,ae,284,238,658,2650
59,w,ae,253,251,685,2299
60,w,ae,356,227,621,2249
61,w,ae,385,188,868,2004
62,w,ae,355,229,682,2486
63,w,ae,315,237,668,2252
64,w,ae,272,214,726,2350
65,w,ae,400,226,620,2316
66,w,ae,356,202,634,2596
67,w,ae,323,212,672,2145
69,w,ae,363,237,698,2339
70,w,ae,307,187,586,2299
71,w,ae,382,217,616,2156
72,w,ae,338,186,576,2429
73,w,ae,365,213,674,2256
74,w,ae,331,248,738,2378
75,w,ae,461,220,646,2406
76,w,ae,346,168,746,1944
77,w,ae,272,246,734,2518
78,w,ae,260,225,662,2276
79,w,ae,333,238,696,2447
80,w,ae,310,238,687,2378
81,w,ae,364,205,645,2154
82,w,ae,239,208,626,2374
83,w,ae,261,235,689,2701
84,w,ae,277,218,557,2586
85,w,ae,328,211,668,2296
86,w,ae,413,200,746,2371
87,w,ae,405,192,893,2070
88,w,ae,294,219,665,2408
89,w,ae,365,192,564,2442
90,w,ae,301,197,714,2254
91,w,ae,301,216,625,2594
92,w,ae,312,222,552,2227
94,w,ae,353,230,685,2205
95,w,ae,333,208,657,2192
96,w,ae,365,156,649,2508
97,w,ae,327,211,817,2102
98,w,ae,310,210,626,2331
99,w,ae,319,209,706,2400
100,w,ae,357,209,751,2432
1,b,ae,257,238,630,2423
2,b,ae,359,286,829,2495
3,b,ae,335,214,631,2801
4,b,ae,398,239,712,2608
5,b,ae,267,200,748,2589
7,b,ae,323,262,769,2203
8,b,ae,316,216,870,2281
9,b,ae,245,220,709,2565
10,b,ae,396,205,634,2555
11,b,ae,298,209,630,2509
12,b,ae,415,252,736,2505
13,b,ae,281,216,634,2535
14,b,ae,314,198,697,2418
15,b,ae,382,272,607,2620
16,b,ae,367,187,753,2227
17,b,ae,352,246,726,2231
18,b,ae,307,249,741,2444
19,b,ae,312,209,674,2663
21,b,ae,352,205,769,2234
22,b,ae,256,229,678,2524
23,b,ae,346,267,809,2592
24,b,ae,216,206,545,2690
25,b,ae,284,223,669,2440
26,b,ae,451,220,643,2434
27,b,ae,243,211,634,2410
28,b,ae,284,227,676,2253
29,b,ae,291,212,860,2503
1,g,ae,295,242,741,2433
2,g,ae,283,196,729,2878
4,g,ae,385,255,932,2523
5,g,ae,456,227,682,2638
6,g,ae,292,222,799,2397
7,g,ae,341,242,722,2418
8,g,ae,384,266,695,2704
9,g,ae,382,265,758,2373
10,g,ae,311,237,946,2540
11,g,ae,353,230,648,2334
12,g,ae,322,240,730,2668
13,g,ae,301,251,752,2501
14,g,ae,306,194,717,2313
15,g,ae,354,226,888,2605
17,g,ae,308,208,727,2394
18,g,ae,317,219,591,2632
19,g,ae,238,248,747,2703
20,g,ae,290,227,672,2484
21,g,ae,250,227,555,2569
1,m,ah,316,159,813,1283
2,m,ah,249,101,749,1060
3,m,ah,373,97,755,1133
4,m,ah,302,127,832,1222
6,m,ah,230,112,871,1204
7,m,ah,265,98,786,1341
8,m,ah,302,115,748,1293
9,m,ah,330,122,738,1394
10,m,ah,271,152,763,1147
11,m,ah,321,148,829,1444
13,m,ah,256,104,825,1429
14,m,ah,278,100,737,1298
16,m,ah,192,145,679,1208
17,m,ah,243,132,689,1064
18,m,ah,342,135,702,1364
19,m,ah,269,148,811,1355
20,m,ah,272,135,744,1489
21,m,ah,206,114,758,1363
22,m,ah,287,115,784,1345
23,m,ah,278,107,802,1297
24,m,ah,258,131,803,1234
25,m,ah,256,116,683,1238
26,m,ah,271,124,697,1370
27,m,ah,212,106,743,1423
28,m,ah,154,173,710,1084
29,m,ah,220,123,825,1438
30,m,ah,290,101,673,1301
31,m,ah,184,160,707,1421
32,m,ah,216,146,697,1293
33,m,ah,272,135,816,1361
34,m,ah,250,115,722,1411
