speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2
HS10,e,250,2373,2886,60,-4,-133,-142,54,82,161,sp,ads,-1.9661648840069161,1.215335395319407
HS10,e,447,2252,3067,50.252,-36,131,214,-38,23,5,sp,ads,-0.5444265333724791,0.9674194090458285
HS10,e,430,2051,3104,182.645,-9,88,-104,227,240,261,sp,ads,-0.6671146143916945,0.5555920268888921
HS10,e,289,2193,2938,54.117,57,-171,-43,69,-217,104,sp,ads,-1.6847039922569516,0.8465347545818521
HS10,e,269,2740,3309,24.159,-10,37,-95,0.9,-22,58,sp,ads,-1.8290429111030873,1.9672789239343107
HS10,e,401,2127,2991,94.705,14,244,-17,37,214,48,sp,ads,-0.8764060467185913,0.711307852978082
HS10,i,367,2013,2888,60.766,-6,-25,-41,46,87,-146,sp,ads,-1.1217822087570222,0.4777341138442972
HS10,u,248,1598,2995,50,-32,-139,-221,49,-224,-457,sp,ads,-1.9805987758915298,-0.37255625230062106
HS10,i,203,2611,2968,100,8,-76,-43,0.6,254,80,sp,ads,-2.3053613432953353,1.7029717980723964
HS10,e,579,1835,2902,140,-61,-70,-31,87,-0.1,0.3,sp,ads,0.40821033101201665,0.11303125800382623
HS10,a,679,1697,3169,150,27,-35,-308,144,56,356,sp,ads,1.1299049252426954,-0.16971589989496588
HS10,e,288,1837,2914,50,258,-53,-30,-163,41,-115,sp,ads,-1.6919209381992582,0.11712904290091017
HS10,a,579,1678,3353,90,18,-21,-39,103,56,-228,sp,ads,0.40821033101201665,-0.20864485641726335
HS10,e,261,918,2861,30,14,858,399,-23,-1330,-291,sp,ads,-1.8867784786415416,-1.765803117309162
HS10,o,455,939,2295,70,9,93,300,4,-10,-68,sp,ads,-0.4866909658340249,-1.7227763758897805
HS10,o,498,1371,3013,60,-56,-246,-30,129,-255,206,sp,ads,-0.17636229031483308,-0.8376548381196487
HS10,e,492,1697,2846,40,-46,-30,73,-32,-36,-29,sp,ads,-0.2196639659686738,-0.16971589989496588
HS10,a,433,1798,3199,152.739,203,-70,-313,173,167,250,sp,ads,-0.6454637765647742,0.03722223740777327
HS10,o,351,1608,2514,38.471,7,206,-227,38,104,-124,sp,ads,-1.2372533438339306,-0.3520673278152014
HS10,e,405,1700,2128,30,-17,-167,159,-2,19,-73,sp,ads,-0.8475382629493642,-0.16356922254933995
HS10,o,552,1557,2731,144.434,-106,173,-475,120,246,-227,sp,ads,0.21335279056973339,-0.4565608426908419
HS10,e,500,2193,3721,247.542,-7,51,-1103,39,48,578,sp,ads,-0.1619283984302195,0.8465347545818521
HS10,a,806,1704,2960,250,-201,-142,6,191,1026,271,sp,ads,2.046457059915657,-0.15537365275517206
